APA01_00110 APA01_14430
APA01_00310 APA01_24940
APA01_00310 APA01_00240
APA01_00310 APA01_21490
APA01_00310 APA01_20750
APA01_00310 APA01_23730
APA01_00310 APA01_20540
APA01_00310 APA01_19540
APA01_00310 APA01_00930
APA01_00310 APA01_00900
APA01_00310 APA01_00920
APA01_00310 APA01_21500
APA01_00310 APA01_00340
APA01_00310 APA01_15390
APA01_00310 APA01_22400
APA01_00310 APA01_19530
APA01_00310 APA01_00330
APA01_00310 APA01_14580
APA01_00310 APA01_00320
APA01_00310 APA01_15380
APA01_00320 APA01_19540
APA01_00320 APA01_23730
APA01_00320 APA01_08650
APA01_00320 APA01_13150
APA01_00320 APA01_20750
APA01_00320 APA01_00240
APA01_00320 APA01_20540
APA01_00320 APA01_24940
APA01_00320 APA01_00900
APA01_00320 APA01_15380
APA01_00320 APA01_10710
APA01_00320 APA01_14580
APA01_00320 APA01_00930
APA01_00320 APA01_00920
APA01_00320 APA01_21490
APA01_00320 APA01_19530
APA01_00320 APA01_00340
APA01_00320 APA01_21500
APA01_00320 APA01_00310
APA01_00320 APA01_00910
APA01_00320 APA01_22400
APA01_00320 APA01_15390
APA01_00320 APA01_00330
APA01_00330 APA01_08650
APA01_00330 APA01_10710
APA01_00330 APA01_00310
APA01_00330 APA01_00910
APA01_00330 APA01_00920
APA01_00330 APA01_20750
APA01_00330 APA01_15380
APA01_00330 APA01_14580
APA01_00330 APA01_00900
APA01_00330 APA01_19540
APA01_00330 APA01_22400
APA01_00330 APA01_13150
APA01_00330 APA01_00240
APA01_00330 APA01_24940
APA01_00330 APA01_21490
APA01_00330 APA01_21500
APA01_00330 APA01_23730
APA01_00330 APA01_20540
APA01_00330 APA01_00930
APA01_00330 APA01_00320
APA01_00330 APA01_00340
APA01_00330 APA01_19530
APA01_00330 APA01_15390
APA01_00340 APA01_15390
APA01_00340 APA01_08650
APA01_00340 APA01_20750
APA01_00340 APA01_19540
APA01_00340 APA01_10710
APA01_00340 APA01_00910
APA01_00340 APA01_00310
APA01_00340 APA01_14580
APA01_00340 APA01_15380
APA01_00340 APA01_00900
APA01_00340 APA01_00920
APA01_00340 APA01_22400
APA01_00340 APA01_00330
APA01_00340 APA01_13150
APA01_00340 APA01_00240
APA01_00340 APA01_24940
APA01_00340 APA01_21490
APA01_00340 APA01_21500
APA01_00340 APA01_23730
APA01_00340 APA01_20540
APA01_00340 APA01_00320
APA01_00340 APA01_00930
APA01_00340 APA01_19530
APA01_00370 APA01_23500
APA01_00370 APA01_04130
APA01_00370 APA01_00380
APA01_00370 APA01_08010
APA01_00370 APA01_25880
APA01_00370 APA01_09840
APA01_00370 APA01_22500
APA01_00380 APA01_14620
APA01_00380 APA01_23110
APA01_00380 APA01_00390
APA01_00380 APA01_06330
APA01_00380 APA01_00370
APA01_00380 APA01_02600
APA01_00380 APA01_23120
APA01_00380 APA01_12250
APA01_00380 APA01_18870
APA01_00390 APA01_12170
APA01_00390 APA01_05940
APA01_00390 APA01_05950
APA01_00390 APA01_21350
APA01_00390 APA01_08750
APA01_00390 APA01_04130
APA01_00390 APA01_06160
APA01_00390 APA01_02600
APA01_00390 APA01_00380
APA01_00390 APA01_23120
APA01_00390 APA01_15810
APA01_00390 APA01_14730
APA01_00390 APA01_12250
APA01_00390 APA01_23160
APA01_00390 APA01_23110
APA01_00390 APA01_04120
APA01_00390 APA01_09840
APA01_00390 APA01_12180
APA01_00390 APA01_10980
APA01_00410 APA01_22460
APA01_00410 APA01_12840
APA01_00410 APA01_19380
APA01_00410 APA01_19360
APA01_00410 APA01_03700
APA01_00410 APA01_22450
APA01_00410 APA01_24220
APA01_00430 APA01_00970
APA01_00430 APA01_25980
APA01_00430 APA01_17270
APA01_00430 APA01_14780
APA01_00430 APA01_06310
APA01_00430 APA01_02770
APA01_00430 APA01_13710
APA01_00430 APA01_07210
APA01_00430 APA01_16860
APA01_00430 APA01_16240
APA01_00430 APA01_12980
APA01_00430 APA01_07050
APA01_00430 APA01_19820
APA01_00430 APA01_26620
APA01_00430 APA01_10080
APA01_00430 APA01_01050
APA01_00430 APA01_19810
APA01_00490 APA01_16160
APA01_00490 APA01_04290
APA01_00490 APA01_26140
APA01_00490 APA01_04280
APA01_00520 APA01_21190
APA01_00520 APA01_12310
APA01_00520 APA01_07220
APA01_00520 APA01_11460
APA01_00520 APA01_08710
APA01_00520 APA01_03890
APA01_00520 APA01_25500
APA01_00520 APA01_19490
APA01_00520 APA01_21430
APA01_00520 APA01_06160
APA01_00520 APA01_19610
APA01_00560 APA01_26150
APA01_00560 APA01_06430
APA01_00580 APA01_11530
APA01_00580 APA01_07870
APA01_00590 APA01_10610
APA01_00590 APA01_03320
APA01_00590 APA01_19610
APA01_00590 APA01_06500
APA01_00590 APA01_24350
APA01_00590 APA01_17660
APA01_00590 APA01_10600
APA01_00590 APA01_21740
APA01_00620 APA01_17640
APA01_00620 APA01_22710
APA01_00620 APA01_15080
APA01_00620 APA01_19610
APA01_00630 APA01_19870
APA01_00630 APA01_06650
APA01_00650 APA01_18990
APA01_00650 APA01_11440
APA01_00730 APA01_18990
APA01_00770 APA01_17120
APA01_00770 APA01_12180
APA01_00770 APA01_07900
APA01_00770 APA01_03610
APA01_00770 APA01_26080
APA01_00770 APA01_06160
APA01_00770 APA01_20440
APA01_00770 APA01_19260
APA01_00770 APA01_05950
APA01_00770 APA01_13840
APA01_00770 APA01_25200
APA01_00770 APA01_10710
APA01_00770 APA01_03620
APA01_00770 APA01_20730
APA01_00770 APA01_13920
APA01_00770 APA01_14710
APA01_00770 APA01_07080
APA01_00770 APA01_17130
APA01_00770 APA01_14730
APA01_00770 APA01_19460
APA01_00770 APA01_01110
APA01_00770 APA01_21930
APA01_00770 APA01_21420
APA01_00770 APA01_05940
APA01_00770 APA01_12160
APA01_00770 APA01_03810
APA01_00770 APA01_12170
APA01_00770 APA01_24800
APA01_00770 APA01_19270
APA01_00770 APA01_04640
APA01_00770 APA01_05960
APA01_00770 APA01_20860
APA01_00770 APA01_19100
APA01_00770 APA01_25210
APA01_00780 APA01_16820
APA01_00780 APA01_00900
APA01_00780 APA01_00930
APA01_00780 APA01_00920
APA01_00780 APA01_00910
APA01_00820 APA01_12070
APA01_00820 APA01_22710
APA01_00820 APA01_17640
APA01_00820 APA01_09520
APA01_00820 APA01_12970
APA01_00820 APA01_06880
APA01_00820 APA01_26550
APA01_00820 APA01_26530
APA01_00820 APA01_02950
APA01_00820 APA01_03320
APA01_00840 APA01_05700
APA01_00860 APA01_08150
APA01_00860 APA01_04670
APA01_00860 APA01_07070
APA01_00860 APA01_00870
APA01_00860 APA01_04660
APA01_00860 APA01_20540
APA01_00860 APA01_08590
APA01_00860 APA01_00240
APA01_00860 APA01_13920
APA01_00860 APA01_22400
APA01_00860 APA01_10270
APA01_00860 APA01_23770
APA01_00860 APA01_22100
APA01_00860 APA01_10260
APA01_00860 APA01_00250
APA01_00860 APA01_03250
APA01_00860 APA01_20430
APA01_00860 APA01_23220
APA01_00860 APA01_04640
APA01_00860 APA01_15620
APA01_00860 APA01_13900
APA01_00860 APA01_12700
APA01_00860 APA01_23490
APA01_00860 APA01_22090
APA01_00860 APA01_24830
APA01_00860 APA01_05810
APA01_00860 APA01_13150
APA01_00860 APA01_10280
APA01_00860 APA01_04650
APA01_00870 APA01_05810
APA01_00870 APA01_23490
APA01_00870 APA01_04650
APA01_00870 APA01_13900
APA01_00870 APA01_12700
APA01_00870 APA01_00860
APA01_00870 APA01_10280
APA01_00870 APA01_13150
APA01_00870 APA01_04640
APA01_00870 APA01_22400
APA01_00870 APA01_24830
APA01_00870 APA01_22090
APA01_00870 APA01_04670
APA01_00870 APA01_07070
APA01_00870 APA01_04660
APA01_00870 APA01_08590
APA01_00870 APA01_20540
APA01_00870 APA01_13920
APA01_00870 APA01_00240
APA01_00870 APA01_22100
APA01_00870 APA01_08150
APA01_00870 APA01_23770
APA01_00870 APA01_10260
APA01_00870 APA01_00250
APA01_00870 APA01_10270
APA01_00870 APA01_03250
APA01_00870 APA01_20430
APA01_00870 APA01_23220
APA01_00870 APA01_15620
APA01_00900 APA01_07050
APA01_00900 APA01_20530
APA01_00900 APA01_05990
APA01_00900 APA01_21930
APA01_00900 APA01_00310
APA01_00900 APA01_20440
APA01_00900 APA01_05750
APA01_00900 APA01_16430
APA01_00900 APA01_05940
APA01_00900 APA01_07810
APA01_00900 APA01_04490
APA01_00900 APA01_12170
APA01_00900 APA01_16390
APA01_00900 APA01_25600
APA01_00900 APA01_16400
APA01_00900 APA01_05950
APA01_00900 APA01_00910
APA01_00900 APA01_16330
APA01_00900 APA01_16310
APA01_00900 APA01_00780
APA01_00900 APA01_16820
APA01_00900 APA01_12570
APA01_00900 APA01_16370
APA01_00900 APA01_00920
APA01_00900 APA01_16380
APA01_00900 APA01_16320
APA01_00900 APA01_16420
APA01_00900 APA01_00930
APA01_00900 APA01_00320
APA01_00900 APA01_16340
APA01_00900 APA01_16360
APA01_00900 APA01_07420
APA01_00900 APA01_00340
APA01_00900 APA01_12180
APA01_00900 APA01_16350
APA01_00900 APA01_16410
APA01_00900 APA01_00330
APA01_00910 APA01_16430
APA01_00910 APA01_20530
APA01_00910 APA01_12170
APA01_00910 APA01_05990
APA01_00910 APA01_21930
APA01_00910 APA01_07810
APA01_00910 APA01_05750
APA01_00910 APA01_05940
APA01_00910 APA01_16390
APA01_00910 APA01_05950
APA01_00910 APA01_20440
APA01_00910 APA01_04490
APA01_00910 APA01_00310
APA01_00910 APA01_07050
APA01_00910 APA01_00780
APA01_00910 APA01_16310
APA01_00910 APA01_00920
APA01_00910 APA01_16370
APA01_00910 APA01_16820
APA01_00910 APA01_16380
APA01_00910 APA01_12570
APA01_00910 APA01_00900
APA01_00910 APA01_16320
APA01_00910 APA01_00930
APA01_00910 APA01_16420
APA01_00910 APA01_00320
APA01_00910 APA01_16340
APA01_00910 APA01_16330
APA01_00910 APA01_16360
APA01_00910 APA01_07420
APA01_00910 APA01_00340
APA01_00910 APA01_12180
APA01_00910 APA01_16350
APA01_00910 APA01_16410
APA01_00910 APA01_00330
APA01_00910 APA01_16400
APA01_00910 APA01_25600
APA01_00920 APA01_16820
APA01_00920 APA01_16370
APA01_00920 APA01_12570
APA01_00920 APA01_16420
APA01_00920 APA01_16320
APA01_00920 APA01_16380
APA01_00920 APA01_16310
APA01_00920 APA01_00780
APA01_00920 APA01_00320
APA01_00920 APA01_21930
APA01_00920 APA01_05750
APA01_00920 APA01_05990
APA01_00920 APA01_20530
APA01_00920 APA01_12170
APA01_00920 APA01_05940
APA01_00920 APA01_16430
APA01_00920 APA01_07810
APA01_00920 APA01_16390
APA01_00920 APA01_00930
APA01_00920 APA01_00900
APA01_00920 APA01_25600
APA01_00920 APA01_16400
APA01_00920 APA01_05950
APA01_00920 APA01_20440
APA01_00920 APA01_04490
APA01_00920 APA01_00310
APA01_00920 APA01_00910
APA01_00920 APA01_07050
APA01_00920 APA01_16360
APA01_00920 APA01_16330
APA01_00920 APA01_07420
APA01_00920 APA01_00330
APA01_00920 APA01_16350
APA01_00920 APA01_00340
APA01_00920 APA01_12180
APA01_00920 APA01_16410
APA01_00920 APA01_16340
APA01_00930 APA01_25600
APA01_00930 APA01_16310
APA01_00930 APA01_16400
APA01_00930 APA01_16380
APA01_00930 APA01_16350
APA01_00930 APA01_00920
APA01_00930 APA01_16430
APA01_00930 APA01_00780
APA01_00930 APA01_16320
APA01_00930 APA01_16330
APA01_00930 APA01_07810
APA01_00930 APA01_21930
APA01_00930 APA01_16360
APA01_00930 APA01_07420
APA01_00930 APA01_16410
APA01_00930 APA01_05940
APA01_00930 APA01_05750
APA01_00930 APA01_16820
APA01_00930 APA01_20530
APA01_00930 APA01_05990
APA01_00930 APA01_05950
APA01_00930 APA01_12170
APA01_00930 APA01_04490
APA01_00930 APA01_16370
APA01_00930 APA01_16390
APA01_00930 APA01_20440
APA01_00930 APA01_16420
APA01_00930 APA01_00340
APA01_00930 APA01_00910
APA01_00930 APA01_16340
APA01_00930 APA01_00310
APA01_00930 APA01_07050
APA01_00930 APA01_12570
APA01_00930 APA01_00330
APA01_00930 APA01_00320
APA01_00930 APA01_00900
APA01_00930 APA01_12180
APA01_00970 APA01_22700
APA01_00970 APA01_00430
APA01_00970 APA01_02770
APA01_00970 APA01_07210
APA01_00970 APA01_16860
APA01_00970 APA01_17270
APA01_00970 APA01_12980
APA01_00970 APA01_11930
APA01_00970 APA01_20750
APA01_00970 APA01_19360
APA01_00970 APA01_19540
APA01_00970 APA01_07480
APA01_00970 APA01_19530
APA01_01040 APA01_07600
APA01_01040 APA01_02520
APA01_01040 APA01_07610
APA01_01040 APA01_14720
APA01_01050 APA01_02770
APA01_01050 APA01_16240
APA01_01050 APA01_12980
APA01_01050 APA01_10080
APA01_01050 APA01_26620
APA01_01050 APA01_25980
APA01_01050 APA01_16860
APA01_01050 APA01_14780
APA01_01050 APA01_00430
APA01_01110 APA01_04640
APA01_01110 APA01_19270
APA01_01110 APA01_20860
APA01_01110 APA01_19100
APA01_01110 APA01_01550
APA01_01110 APA01_14850
APA01_01110 APA01_17120
APA01_01110 APA01_12180
APA01_01110 APA01_19530
APA01_01110 APA01_12170
APA01_01110 APA01_15490
APA01_01110 APA01_10670
APA01_01110 APA01_04430
APA01_01110 APA01_14840
APA01_01110 APA01_00770
APA01_01110 APA01_20440
APA01_01110 APA01_05950
APA01_01110 APA01_06160
APA01_01110 APA01_16650
APA01_01110 APA01_14580
APA01_01110 APA01_11550
APA01_01110 APA01_20750
APA01_01110 APA01_19260
APA01_01110 APA01_05510
APA01_01110 APA01_17130
APA01_01110 APA01_03600
APA01_01110 APA01_19540
APA01_01110 APA01_14730
APA01_01110 APA01_14860
APA01_01110 APA01_21930
APA01_01110 APA01_24940
APA01_01110 APA01_03810
APA01_01110 APA01_05940
APA01_01170 APA01_09520
APA01_01170 APA01_02100
APA01_01170 APA01_24620
APA01_01170 APA01_01180
APA01_01170 APA01_24610
APA01_01170 APA01_01200
APA01_01170 APA01_01210
APA01_01170 APA01_24600
APA01_01170 APA01_24590
APA01_01170 APA01_01190
APA01_01180 APA01_02100
APA01_01180 APA01_24610
APA01_01180 APA01_01210
APA01_01180 APA01_01190
APA01_01180 APA01_24590
APA01_01180 APA01_09520
APA01_01180 APA01_24620
APA01_01180 APA01_01200
APA01_01180 APA01_24600
APA01_01180 APA01_01170
APA01_01190 APA01_02100
APA01_01190 APA01_24610
APA01_01190 APA01_01210
APA01_01190 APA01_24590
APA01_01190 APA01_09520
APA01_01190 APA01_24620
APA01_01190 APA01_01180
APA01_01190 APA01_01200
APA01_01190 APA01_24600
APA01_01190 APA01_01170
APA01_01200 APA01_01190
APA01_01200 APA01_02100
APA01_01200 APA01_24610
APA01_01200 APA01_01210
APA01_01200 APA01_24590
APA01_01200 APA01_24600
APA01_01200 APA01_09520
APA01_01200 APA01_24620
APA01_01200 APA01_01180
APA01_01200 APA01_01170
APA01_01210 APA01_24620
APA01_01210 APA01_24600
APA01_01210 APA01_24590
APA01_01210 APA01_01190
APA01_01210 APA01_02100
APA01_01210 APA01_01180
APA01_01210 APA01_24610
APA01_01210 APA01_01200
APA01_01210 APA01_09520
APA01_01210 APA01_01170
APA01_01220 APA01_11570
APA01_01230 APA01_06650
APA01_01230 APA01_19870
APA01_01280 APA01_11620
APA01_01280 APA01_01300
APA01_01280 APA01_01290
APA01_01280 APA01_01350
APA01_01280 APA01_11630
APA01_01280 APA01_11890
APA01_01290 APA01_01350
APA01_01290 APA01_01280
APA01_01290 APA01_11890
APA01_01290 APA01_11620
APA01_01290 APA01_11630
APA01_01290 APA01_01300
APA01_01300 APA01_01280
APA01_01300 APA01_01290
APA01_01300 APA01_01350
APA01_01300 APA01_11630
APA01_01300 APA01_11890
APA01_01300 APA01_11620
APA01_01350 APA01_01280
APA01_01350 APA01_11620
APA01_01350 APA01_11630
APA01_01350 APA01_11890
APA01_01350 APA01_01300
APA01_01350 APA01_01290
APA01_01370 APA01_01380
APA01_01380 APA01_01370
APA01_01400 APA01_12430
APA01_01400 APA01_01410
APA01_01410 APA01_01400
APA01_01410 APA01_12430
APA01_01550 APA01_14850
APA01_01550 APA01_06310
APA01_01550 APA01_14840
APA01_01550 APA01_11550
APA01_01550 APA01_05510
APA01_01550 APA01_14580
APA01_01550 APA01_14860
APA01_01550 APA01_24940
APA01_01550 APA01_01110
APA01_01550 APA01_16650
APA01_01580 APA01_23330
APA01_01580 APA01_01620
APA01_01580 APA01_01600
APA01_01580 APA01_23300
APA01_01580 APA01_23290
APA01_01580 APA01_23320
APA01_01580 APA01_01610
APA01_01580 APA01_01590
APA01_01580 APA01_23310
APA01_01590 APA01_23310
APA01_01590 APA01_01610
APA01_01590 APA01_01580
APA01_01590 APA01_23320
APA01_01590 APA01_01600
APA01_01590 APA01_23330
APA01_01590 APA01_23300
APA01_01590 APA01_01620
APA01_01590 APA01_23290
APA01_01600 APA01_23310
APA01_01600 APA01_01580
APA01_01600 APA01_01610
APA01_01600 APA01_23290
APA01_01600 APA01_01590
APA01_01600 APA01_23320
APA01_01600 APA01_23330
APA01_01600 APA01_01620
APA01_01600 APA01_23300
APA01_01610 APA01_23290
APA01_01610 APA01_01620
APA01_01610 APA01_01600
APA01_01610 APA01_23310
APA01_01610 APA01_01590
APA01_01610 APA01_23330
APA01_01610 APA01_01580
APA01_01610 APA01_23300
APA01_01610 APA01_23320
APA01_01620 APA01_23330
APA01_01620 APA01_23300
APA01_01620 APA01_01600
APA01_01620 APA01_01580
APA01_01620 APA01_23320
APA01_01620 APA01_01610
APA01_01620 APA01_23290
APA01_01620 APA01_23310
APA01_01620 APA01_01590
APA01_01950 APA01_13100
APA01_01970 APA01_14930
APA01_01970 APA01_10630
APA01_01970 APA01_06520
APA01_01970 APA01_17430
APA01_02020 APA01_20750
APA01_02020 APA01_19540
APA01_02020 APA01_19530
APA01_02020 APA01_23090
APA01_02020 APA01_10690
APA01_02020 APA01_11870
APA01_02100 APA01_24610
APA01_02100 APA01_24600
APA01_02100 APA01_01210
APA01_02100 APA01_24590
APA01_02100 APA01_01190
APA01_02100 APA01_24620
APA01_02100 APA01_08800
APA01_02100 APA01_01180
APA01_02100 APA01_01200
APA01_02100 APA01_01170
APA01_02140 APA01_08830
APA01_02140 APA01_24380
APA01_02140 APA01_24390
APA01_02140 APA01_06950
APA01_02140 APA01_08840
APA01_02140 APA01_06960
APA01_02140 APA01_08850
APA01_02140 APA01_02300
APA01_02140 APA01_03960
APA01_02140 APA01_11370
APA01_02240 APA01_24920
APA01_02240 APA01_19360
APA01_02240 APA01_24490
APA01_02240 APA01_24240
APA01_02240 APA01_02250
APA01_02250 APA01_24920
APA01_02250 APA01_02560
APA01_02250 APA01_19360
APA01_02250 APA01_05510
APA01_02250 APA01_24240
APA01_02250 APA01_02240
APA01_02250 APA01_06730
APA01_02250 APA01_02950
APA01_02250 APA01_08770
APA01_02300 APA01_11370
APA01_02300 APA01_24390
APA01_02300 APA01_08850
APA01_02300 APA01_24380
APA01_02300 APA01_08830
APA01_02300 APA01_08840
APA01_02300 APA01_02140
APA01_02300 APA01_03960
APA01_02300 APA01_06950
APA01_02300 APA01_06960
APA01_02330 APA01_20790
APA01_02330 APA01_20800
APA01_02330 APA01_20830
APA01_02330 APA01_12690
APA01_02330 APA01_02340
APA01_02340 APA01_11170
APA01_02340 APA01_17690
APA01_02340 APA01_02330
APA01_02520 APA01_14720
APA01_02520 APA01_10650
APA01_02520 APA01_01040
APA01_02520 APA01_07600
APA01_02560 APA01_02250
APA01_02560 APA01_08770
APA01_02600 APA01_00390
APA01_02600 APA01_18870
APA01_02600 APA01_14620
APA01_02600 APA01_21350
APA01_02600 APA01_12170
APA01_02600 APA01_05940
APA01_02600 APA01_05950
APA01_02600 APA01_23110
APA01_02600 APA01_06160
APA01_02600 APA01_04130
APA01_02600 APA01_09840
APA01_02600 APA01_12250
APA01_02600 APA01_23120
APA01_02600 APA01_00380
APA01_02600 APA01_06330
APA01_02600 APA01_15810
APA01_02600 APA01_14730
APA01_02600 APA01_12180
APA01_02600 APA01_10980
APA01_02610 APA01_12510
APA01_02610 APA01_13250
APA01_02610 APA01_15150
APA01_02610 APA01_11030
APA01_02760 APA01_08630
APA01_02770 APA01_17270
APA01_02770 APA01_07210
APA01_02770 APA01_16240
APA01_02770 APA01_14780
APA01_02770 APA01_06310
APA01_02770 APA01_16860
APA01_02770 APA01_13710
APA01_02770 APA01_00430
APA01_02770 APA01_19820
APA01_02770 APA01_07050
APA01_02770 APA01_12980
APA01_02770 APA01_00970
APA01_02770 APA01_25980
APA01_02770 APA01_26620
APA01_02770 APA01_10080
APA01_02770 APA01_01050
APA01_02770 APA01_19810
APA01_02870 APA01_02880
APA01_02880 APA01_02870
APA01_02920 APA01_11860
APA01_02920 APA01_06690
APA01_02930 APA01_24490
APA01_02930 APA01_24260
APA01_02950 APA01_08770
APA01_02950 APA01_24490
APA01_02950 APA01_24240
APA01_02950 APA01_03320
APA01_02950 APA01_02250
APA01_02950 APA01_26530
APA01_02950 APA01_24920
APA01_02950 APA01_15080
APA01_02950 APA01_03160
APA01_02950 APA01_19360
APA01_02950 APA01_12070
APA01_02950 APA01_26550
APA01_02950 APA01_00820
APA01_03000 APA01_03010
APA01_03010 APA01_03000
APA01_03110 APA01_04640
APA01_03110 APA01_12200
APA01_03110 APA01_24670
APA01_03110 APA01_06620
APA01_03110 APA01_19360
APA01_03110 APA01_03120
APA01_03110 APA01_07820
APA01_03110 APA01_09850
APA01_03110 APA01_19290
APA01_03110 APA01_17720
APA01_03120 APA01_19290
APA01_03120 APA01_04640
APA01_03120 APA01_17720
APA01_03120 APA01_24670
APA01_03120 APA01_06620
APA01_03120 APA01_03110
APA01_03120 APA01_19360
APA01_03120 APA01_12200
APA01_03120 APA01_09850
APA01_03120 APA01_07820
APA01_03150 APA01_26560
APA01_03150 APA01_19880
APA01_03150 APA01_04120
APA01_03160 APA01_04430
APA01_03160 APA01_12070
APA01_03160 APA01_20750
APA01_03160 APA01_17360
APA01_03160 APA01_02950
APA01_03160 APA01_19530
APA01_03160 APA01_19540
APA01_03160 APA01_15490
APA01_03160 APA01_15080
APA01_03160 APA01_11270
APA01_03160 APA01_14980
APA01_03160 APA01_03320
APA01_03160 APA01_23730
APA01_03160 APA01_07610
APA01_03160 APA01_15480
APA01_03170 APA01_03180
APA01_03180 APA01_03170
APA01_03190 APA01_24770
APA01_03190 APA01_24780
APA01_03190 APA01_10340
APA01_03190 APA01_24790
APA01_03230 APA01_15150
APA01_03250 APA01_23770
APA01_03250 APA01_10260
APA01_03250 APA01_22100
APA01_03250 APA01_04660
APA01_03250 APA01_00240
APA01_03250 APA01_24830
APA01_03250 APA01_04670
APA01_03250 APA01_22090
APA01_03250 APA01_07080
APA01_03250 APA01_23490
APA01_03250 APA01_13900
APA01_03250 APA01_10280
APA01_03250 APA01_00860
APA01_03250 APA01_04650
APA01_03250 APA01_03620
APA01_03250 APA01_21580
APA01_03250 APA01_14710
APA01_03250 APA01_08150
APA01_03250 APA01_13920
APA01_03250 APA01_13150
APA01_03250 APA01_03600
APA01_03250 APA01_05810
APA01_03250 APA01_22400
APA01_03250 APA01_15620
APA01_03250 APA01_04640
APA01_03250 APA01_20430
APA01_03250 APA01_07070
APA01_03250 APA01_00250
APA01_03250 APA01_00870
APA01_03250 APA01_08590
APA01_03250 APA01_20540
APA01_03250 APA01_10270
APA01_03250 APA01_23220
APA01_03250 APA01_25330
APA01_03250 APA01_12700
APA01_03310 APA01_07300
APA01_03310 APA01_06680
APA01_03320 APA01_10610
APA01_03320 APA01_06440
APA01_03320 APA01_15080
APA01_03320 APA01_00590
APA01_03320 APA01_06450
APA01_03320 APA01_09550
APA01_03320 APA01_19610
APA01_03320 APA01_09280
APA01_03320 APA01_03160
APA01_03320 APA01_06500
APA01_03320 APA01_17640
APA01_03320 APA01_06160
APA01_03320 APA01_12070
APA01_03320 APA01_18560
APA01_03320 APA01_09270
APA01_03320 APA01_06880
APA01_03320 APA01_12190
APA01_03320 APA01_00820
APA01_03320 APA01_24350
APA01_03320 APA01_17660
APA01_03320 APA01_02950
APA01_03320 APA01_18410
APA01_03320 APA01_10600
APA01_03320 APA01_11190
APA01_03320 APA01_22710
APA01_03320 APA01_21740
APA01_03320 APA01_09520
APA01_03590 APA01_03600
APA01_03600 APA01_25330
APA01_03600 APA01_25120
APA01_03600 APA01_01110
APA01_03600 APA01_05940
APA01_03600 APA01_16650
APA01_03600 APA01_12170
APA01_03600 APA01_20430
APA01_03600 APA01_12180
APA01_03600 APA01_03590
APA01_03600 APA01_03250
APA01_03600 APA01_05950
APA01_03600 APA01_11550
APA01_03600 APA01_03620
APA01_03600 APA01_21580
APA01_03600 APA01_13920
APA01_03600 APA01_14710
APA01_03600 APA01_07080
APA01_03610 APA01_07080
APA01_03610 APA01_14710
APA01_03610 APA01_25200
APA01_03610 APA01_10710
APA01_03610 APA01_00770
APA01_03610 APA01_20730
APA01_03610 APA01_05960
APA01_03610 APA01_26080
APA01_03610 APA01_12160
APA01_03610 APA01_03620
APA01_03610 APA01_25210
APA01_03610 APA01_07900
APA01_03610 APA01_14730
APA01_03620 APA01_05950
