MGF_0045 MGF_2759
MGF_0658 MGF_4290
MGF_0658 MGF_3101
MGF_0665 MGF_4283
MGF_0665 MGF_3454
MGF_0676 MGF_1705
MGF_0676 MGF_2614
MGF_0676 MGF_4355
MGF_0676 MGF_5712
MGF_0676 MGF_5651
MGF_0676 MGF_4777
MGF_0676 MGF_4340
MGF_0901 MGF_3286
MGF_0941 MGF_1089
MGF_0941 MGF_5609
MGF_0941 MGF_1132
MGF_0941 MGF_4004
MGF_0979 MGF_1673
MGF_0979 MGF_1585
MGF_0979 MGF_0202
MGF_0979 MGF_0998
MGF_0979 MGF_5131
MGF_0979 MGF_4982
MGF_0998 MGF_2578
MGF_0998 MGF_1611
MGF_0998 MGF_1673
MGF_0998 MGF_2585
MGF_0998 MGF_1585
MGF_0998 MGF_3868
MGF_0998 MGF_0202
MGF_0998 MGF_0480
MGF_0998 MGF_5131
MGF_0998 MGF_4982
MGF_0998 MGF_1732
MGF_0998 MGF_2383
MGF_0998 MGF_2614
MGF_0998 MGF_3862
MGF_0998 MGF_1617
MGF_0998 MGF_0979
MGF_1032 MGF_1673
MGF_1032 MGF_0202
MGF_1032 MGF_4976
MGF_1032 MGF_1651
MGF_1089 MGF_1132
MGF_1089 MGF_0941
MGF_1132 MGF_1089
MGF_1132 MGF_0941
MGF_1148 MGF_0354
MGF_1148 MGF_0334
MGF_1148 MGF_0651
MGF_1148 MGF_3954
MGF_1148 MGF_0346
MGF_1148 MGF_2848
MGF_1152 MGF_5007
MGF_1389 MGF_4927
MGF_1389 MGF_4565
MGF_1389 MGF_2614
MGF_1389 MGF_5128
MGF_1389 MGF_4587
MGF_1401 MGF_4927
MGF_1401 MGF_4565
MGF_1401 MGF_5128
MGF_1401 MGF_4587
MGF_1430 MGF_0467
MGF_1430 MGF_0114
MGF_1430 MGF_0175
MGF_1430 MGF_1584
MGF_1430 MGF_5007
MGF_1584 MGF_1430
MGF_1584 MGF_1601
MGF_1584 MGF_1597
MGF_1584 MGF_5141
MGF_1584 MGF_4883
MGF_1584 MGF_0175
MGF_1584 MGF_3954
MGF_1585 MGF_1611
MGF_1585 MGF_2578
MGF_1585 MGF_1673
MGF_1585 MGF_2585
MGF_1585 MGF_3868
MGF_1585 MGF_5131
MGF_1585 MGF_0998
MGF_1585 MGF_0202
MGF_1585 MGF_0480
MGF_1585 MGF_1601
MGF_1585 MGF_1732
MGF_1585 MGF_4982
MGF_1585 MGF_2383
MGF_1585 MGF_2614
MGF_1585 MGF_1617
MGF_1585 MGF_0979
MGF_1587 MGF_1601
MGF_1587 MGF_3954
MGF_1587 MGF_1597
MGF_1587 MGF_5141
MGF_1597 MGF_2533
MGF_1597 MGF_1587
MGF_1597 MGF_1584
MGF_1597 MGF_5141
MGF_1597 MGF_2540
MGF_1597 MGF_2848
MGF_1601 MGF_5173
MGF_1601 MGF_1587
MGF_1601 MGF_1585
MGF_1601 MGF_1584
MGF_1601 MGF_4982
MGF_1611 MGF_1673
MGF_1611 MGF_1585
MGF_1611 MGF_3868
MGF_1611 MGF_0998
MGF_1611 MGF_0202
MGF_1611 MGF_5131
MGF_1611 MGF_1732
MGF_1611 MGF_4982
MGF_1611 MGF_3873
MGF_1617 MGF_1673
MGF_1617 MGF_1585
MGF_1617 MGF_0202
MGF_1617 MGF_0998
MGF_1617 MGF_5131
MGF_1617 MGF_4982
MGF_1617 MGF_2383
MGF_1617 MGF_3862
MGF_1624 MGF_1629
MGF_1624 MGF_1637
MGF_1629 MGF_1624
MGF_1629 MGF_1637
MGF_1637 MGF_1629
MGF_1637 MGF_1624
MGF_1651 MGF_1673
MGF_1651 MGF_0202
MGF_1651 MGF_1032
MGF_1673 MGF_1611
MGF_1673 MGF_4982
MGF_1673 MGF_2585
MGF_1673 MGF_2578
MGF_1673 MGF_1585
MGF_1673 MGF_3868
MGF_1673 MGF_0202
MGF_1673 MGF_0998
MGF_1673 MGF_1032
MGF_1673 MGF_0480
MGF_1673 MGF_5131
MGF_1673 MGF_1732
MGF_1673 MGF_4976
MGF_1673 MGF_2383
MGF_1673 MGF_2614
MGF_1673 MGF_2611
MGF_1673 MGF_1651
MGF_1673 MGF_1617
MGF_1673 MGF_0979
MGF_1705 MGF_4777
MGF_1705 MGF_5651
MGF_1705 MGF_2614
MGF_1705 MGF_4340
MGF_1705 MGF_5712
MGF_1705 MGF_4355
MGF_1705 MGF_0676
MGF_1732 MGF_1611
MGF_1732 MGF_1673
MGF_1732 MGF_0998
MGF_1732 MGF_1585
MGF_1732 MGF_3868
MGF_1732 MGF_0202
MGF_1732 MGF_5131
MGF_1732 MGF_4982
MGF_1732 MGF_3862
MGF_1886 MGF_2027
MGF_1890 MGF_3048
MGF_1890 MGF_2031
MGF_1924 MGF_2065
MGF_2027 MGF_1886
MGF_2031 MGF_3048
MGF_2031 MGF_1890
MGF_2065 MGF_1924
MGF_2239 MGF_2327
MGF_2239 MGF_2253
MGF_2239 MGF_2261
MGF_2239 MGF_2322
MGF_2239 MGF_2336
MGF_2239 MGF_2271
MGF_2239 MGF_2285
MGF_2239 MGF_2312
MGF_2253 MGF_2327
MGF_2253 MGF_2261
MGF_2253 MGF_2336
MGF_2253 MGF_2322
MGF_2253 MGF_2271
MGF_2253 MGF_2285
MGF_2253 MGF_2312
MGF_2253 MGF_2239
MGF_2261 MGF_2253
MGF_2261 MGF_2327
MGF_2261 MGF_2285
MGF_2261 MGF_2271
MGF_2261 MGF_2336
MGF_2261 MGF_2322
MGF_2261 MGF_2312
MGF_2261 MGF_2239
MGF_2271 MGF_2327
MGF_2271 MGF_2253
MGF_2271 MGF_2261
MGF_2271 MGF_2336
MGF_2271 MGF_2322
MGF_2271 MGF_2285
MGF_2271 MGF_2312
MGF_2271 MGF_2239
MGF_2285 MGF_2271
MGF_2285 MGF_2327
MGF_2285 MGF_2261
MGF_2285 MGF_2253
MGF_2285 MGF_2312
MGF_2285 MGF_2322
MGF_2285 MGF_2336
MGF_2285 MGF_2239
MGF_2312 MGF_2253
MGF_2312 MGF_2327
MGF_2312 MGF_2336
MGF_2312 MGF_2261
MGF_2312 MGF_2322
MGF_2312 MGF_2271
MGF_2312 MGF_2285
MGF_2312 MGF_2239
MGF_2322 MGF_2312
MGF_2322 MGF_2253
MGF_2322 MGF_2327
MGF_2322 MGF_2336
MGF_2322 MGF_2261
MGF_2322 MGF_2285
MGF_2322 MGF_2271
MGF_2322 MGF_2239
MGF_2327 MGF_2253
MGF_2327 MGF_2336
MGF_2327 MGF_2261
MGF_2327 MGF_2322
MGF_2327 MGF_2271
MGF_2327 MGF_2285
MGF_2327 MGF_2312
MGF_2327 MGF_2239
MGF_2336 MGF_2261
MGF_2336 MGF_2253
MGF_2336 MGF_2327
MGF_2336 MGF_2322
MGF_2336 MGF_2271
MGF_2336 MGF_2285
MGF_2336 MGF_2312
MGF_2336 MGF_2239
MGF_2383 MGF_1585
MGF_2383 MGF_0202
MGF_2383 MGF_0998
MGF_2383 MGF_5131
MGF_2383 MGF_0575
MGF_2383 MGF_4982
MGF_2383 MGF_2614
MGF_2383 MGF_1617
MGF_2383 MGF_1673
MGF_2470 MGF_0272
MGF_2500 MGF_0099
MGF_2500 MGF_3101
MGF_2500 MGF_0094
MGF_2500 MGF_4048
MGF_2500 MGF_3221
MGF_2533 MGF_0350
MGF_2533 MGF_5658
MGF_2533 MGF_1597
MGF_2540 MGF_0350
MGF_2540 MGF_5658
MGF_2540 MGF_1597
MGF_2562 MGF_4896
MGF_2562 MGF_5586
MGF_2578 MGF_1673
MGF_2578 MGF_2585
MGF_2578 MGF_1585
MGF_2578 MGF_0480
MGF_2578 MGF_0202
MGF_2578 MGF_0998
MGF_2578 MGF_5131
MGF_2578 MGF_2598
MGF_2578 MGF_4982
MGF_2578 MGF_2614
MGF_2578 MGF_2592
MGF_2585 MGF_0480
MGF_2585 MGF_1673
MGF_2585 MGF_2578
MGF_2585 MGF_1585
MGF_2585 MGF_0202
MGF_2585 MGF_0998
MGF_2585 MGF_5131
MGF_2585 MGF_2598
MGF_2585 MGF_4982
MGF_2585 MGF_2614
MGF_2585 MGF_2592
MGF_2592 MGF_2578
MGF_2592 MGF_2585
MGF_2592 MGF_2598
MGF_2592 MGF_4896
MGF_2598 MGF_0354
MGF_2598 MGF_2578
MGF_2598 MGF_2585
MGF_2598 MGF_5609
MGF_2598 MGF_0350
MGF_2598 MGF_4004
MGF_2598 MGF_2592
MGF_2611 MGF_1673
MGF_2611 MGF_5173
MGF_2611 MGF_0202
MGF_2611 MGF_5131
MGF_2611 MGF_4982
MGF_2614 MGF_5712
MGF_2614 MGF_0467
MGF_2614 MGF_4565
MGF_2614 MGF_1673
MGF_2614 MGF_2578
MGF_2614 MGF_2585
MGF_2614 MGF_4355
MGF_2614 MGF_1585
MGF_2614 MGF_5651
MGF_2614 MGF_4927
MGF_2614 MGF_0334
MGF_2614 MGF_0998
MGF_2614 MGF_0202
MGF_2614 MGF_0480
MGF_2614 MGF_5131
MGF_2614 MGF_0575
MGF_2614 MGF_4340
MGF_2614 MGF_0676
MGF_2614 MGF_4982
MGF_2614 MGF_5128
MGF_2614 MGF_4777
MGF_2614 MGF_2383
MGF_2614 MGF_4587
MGF_2614 MGF_5007
MGF_2614 MGF_1705
MGF_2614 MGF_1389
MGF_2614 MGF_0346
MGF_2687 MGF_2711
MGF_2687 MGF_2705
MGF_2687 MGF_2698
MGF_2698 MGF_2687
MGF_2698 MGF_2711
MGF_2698 MGF_2705
MGF_2705 MGF_2687
MGF_2705 MGF_2711
MGF_2705 MGF_2698
MGF_2711 MGF_2687
MGF_2711 MGF_2705
MGF_2711 MGF_2698
MGF_2748 MGF_4072
MGF_2748 MGF_3674
MGF_2759 MGF_0045
MGF_2807 MGF_4004
MGF_2848 MGF_1148
MGF_2848 MGF_0651
MGF_2848 MGF_3954
MGF_2848 MGF_1597
MGF_2871 MGF_5047
MGF_3048 MGF_1890
MGF_3048 MGF_4883
MGF_3048 MGF_2031
MGF_3098 MGF_4330
MGF_3101 MGF_2500
MGF_3101 MGF_0658
MGF_3101 MGF_0099
MGF_3101 MGF_3221
MGF_3101 MGF_4048
MGF_3221 MGF_3101
MGF_3221 MGF_2500
MGF_3221 MGF_0099
MGF_3221 MGF_0094
MGF_3221 MGF_4048
MGF_3264 MGF_5609
MGF_3286 MGF_0901
MGF_3378 MGF_3381
MGF_3381 MGF_3378
MGF_3399 MGF_3409
MGF_3409 MGF_3399
MGF_3413 MGF_0350
MGF_3454 MGF_0665
MGF_3486 MGF_4253
MGF_3486 MGF_3501
MGF_3486 MGF_0247
MGF_3486 MGF_3505
MGF_3501 MGF_4253
MGF_3501 MGF_0247
MGF_3501 MGF_3486
MGF_3501 MGF_3505
MGF_3505 MGF_0247
MGF_3505 MGF_4253
MGF_3505 MGF_3501
MGF_3505 MGF_3486
MGF_3567 MGF_3581
MGF_3581 MGF_3567
MGF_3674 MGF_4072
MGF_3674 MGF_2748
MGF_3862 MGF_3868
MGF_3862 MGF_0998
MGF_3862 MGF_1732
MGF_3862 MGF_1617
MGF_3862 MGF_3873
MGF_3868 MGF_1611
MGF_3868 MGF_1673
MGF_3868 MGF_1585
MGF_3868 MGF_0998
MGF_3868 MGF_0202
MGF_3868 MGF_5131
MGF_3868 MGF_4982
MGF_3868 MGF_1732
MGF_3868 MGF_3862
MGF_3873 MGF_5131
MGF_3873 MGF_1611
MGF_3873 MGF_3862
MGF_3888 MGF_3936
MGF_3888 MGF_5097
MGF_3888 MGF_0467
MGF_3888 MGF_3928
MGF_3888 MGF_3924
MGF_3888 MGF_5091
MGF_3888 MGF_4087
MGF_3888 MGF_3919
MGF_3888 MGF_3929
MGF_3888 MGF_3901
MGF_3888 MGF_3910
MGF_3901 MGF_5097
MGF_3901 MGF_0467
MGF_3901 MGF_3936
MGF_3901 MGF_3888
MGF_3901 MGF_3928
MGF_3901 MGF_3929
MGF_3901 MGF_3924
MGF_3901 MGF_4087
MGF_3901 MGF_5091
MGF_3901 MGF_3919
MGF_3901 MGF_3910
MGF_3910 MGF_5097
MGF_3910 MGF_3936
MGF_3910 MGF_0467
MGF_3910 MGF_3888
MGF_3910 MGF_3928
MGF_3910 MGF_3924
MGF_3910 MGF_4087
MGF_3910 MGF_5091
MGF_3910 MGF_3929
MGF_3910 MGF_3919
MGF_3910 MGF_3901
MGF_3919 MGF_3928
MGF_3919 MGF_3924
MGF_3919 MGF_4087
MGF_3919 MGF_5091
MGF_3919 MGF_3929
MGF_3919 MGF_3901
MGF_3919 MGF_3910
MGF_3919 MGF_5097
MGF_3919 MGF_3936
MGF_3919 MGF_0467
MGF_3919 MGF_3888
MGF_3924 MGF_3928
MGF_3924 MGF_5097
MGF_3924 MGF_3936
MGF_3924 MGF_3888
MGF_3924 MGF_0467
MGF_3924 MGF_4087
MGF_3924 MGF_5091
MGF_3924 MGF_3919
MGF_3924 MGF_3929
MGF_3924 MGF_3901
MGF_3924 MGF_3910
MGF_3928 MGF_3936
MGF_3928 MGF_5097
MGF_3928 MGF_3888
MGF_3928 MGF_0467
MGF_3928 MGF_3924
MGF_3928 MGF_4087
MGF_3928 MGF_5091
MGF_3928 MGF_3929
MGF_3928 MGF_3919
MGF_3928 MGF_3901
MGF_3928 MGF_3910
MGF_3929 MGF_5097
MGF_3929 MGF_3936
MGF_3929 MGF_3888
MGF_3929 MGF_0467
MGF_3929 MGF_3924
MGF_3929 MGF_4087
MGF_3929 MGF_5091
MGF_3929 MGF_3928
MGF_3929 MGF_3919
MGF_3929 MGF_3910
MGF_3929 MGF_3901
MGF_3936 MGF_3888
MGF_3936 MGF_0467
MGF_3936 MGF_5097
MGF_3936 MGF_3928
MGF_3936 MGF_3924
MGF_3936 MGF_4087
MGF_3936 MGF_5091
MGF_3936 MGF_3929
MGF_3936 MGF_3919
MGF_3936 MGF_3901
MGF_3936 MGF_3910
MGF_3941 MGF_0467
MGF_3954 MGF_2848
MGF_3954 MGF_1587
MGF_3954 MGF_1148
MGF_3954 MGF_0651
MGF_3954 MGF_1584
MGF_3962 MGF_0172
MGF_4004 MGF_0941
MGF_4004 MGF_0350
MGF_4004 MGF_5609
MGF_4004 MGF_2598
MGF_4004 MGF_2807
MGF_4048 MGF_2500
MGF_4048 MGF_3101
MGF_4048 MGF_0099
MGF_4048 MGF_0194
MGF_4048 MGF_3221
MGF_4067 MGF_4072
MGF_4072 MGF_3674
MGF_4072 MGF_4067
MGF_4072 MGF_2748
MGF_4087 MGF_3888
MGF_4087 MGF_3928
MGF_4087 MGF_3924
MGF_4087 MGF_5091
MGF_4087 MGF_3929
MGF_4087 MGF_3919
MGF_4087 MGF_3901
MGF_4087 MGF_3910
MGF_4087 MGF_3936
MGF_4087 MGF_5097
MGF_4156 MGF_4822
MGF_4156 MGF_4830
MGF_4156 MGF_4297
MGF_4245 MGF_4253
MGF_4245 MGF_4248
MGF_4248 MGF_4253
MGF_4248 MGF_4245
MGF_4253 MGF_4248
MGF_4253 MGF_3501
MGF_4253 MGF_0247
MGF_4253 MGF_3486
MGF_4253 MGF_3505
MGF_4253 MGF_4245
MGF_4283 MGF_0062
MGF_4283 MGF_0665
MGF_4290 MGF_0658
MGF_4297 MGF_4830
MGF_4297 MGF_4822
MGF_4297 MGF_4156
MGF_4330 MGF_3098
MGF_4340 MGF_4355
MGF_4340 MGF_5712
MGF_4340 MGF_5651
MGF_4340 MGF_0676
MGF_4340 MGF_4777
MGF_4340 MGF_2614
MGF_4340 MGF_1705
MGF_4355 MGF_5712
MGF_4355 MGF_0676
MGF_4355 MGF_5651
MGF_4355 MGF_4777
MGF_4355 MGF_2614
MGF_4355 MGF_1705
MGF_4355 MGF_4340
MGF_4484 MGF_4496
MGF_4484 MGF_4487
MGF_4487 MGF_4496
MGF_4487 MGF_4484
MGF_4496 MGF_4484
MGF_4496 MGF_4487
MGF_4565 MGF_4927
MGF_4565 MGF_1401
MGF_4565 MGF_5128
MGF_4565 MGF_4587
MGF_4565 MGF_2614
MGF_4565 MGF_1389
MGF_4587 MGF_4565
MGF_4587 MGF_4927
MGF_4587 MGF_5128
MGF_4587 MGF_1401
MGF_4587 MGF_2614
MGF_4587 MGF_1389
MGF_4603 MGF_5007
MGF_4621 MGF_0354
MGF_4621 MGF_5658
MGF_4621 MGF_0350
MGF_4621 MGF_5141
MGF_4777 MGF_5712
MGF_4777 MGF_4355
MGF_4777 MGF_5651
MGF_4777 MGF_0676
MGF_4777 MGF_2614
MGF_4777 MGF_1705
MGF_4777 MGF_4340
MGF_4822 MGF_4830
MGF_4822 MGF_4156
MGF_4822 MGF_4297
MGF_4830 MGF_4822
MGF_4830 MGF_4156
MGF_4830 MGF_5155
MGF_4830 MGF_4297
MGF_4830 MGF_5602
MGF_4883 MGF_3048
MGF_4883 MGF_1584
MGF_4896 MGF_2562
MGF_4896 MGF_5586
MGF_4896 MGF_2592
MGF_4927 MGF_4565
MGF_4927 MGF_1401
MGF_4927 MGF_5128
MGF_4927 MGF_1389
MGF_4927 MGF_2614
MGF_4927 MGF_4587
MGF_4976 MGF_1673
MGF_4976 MGF_0202
MGF_4976 MGF_1032
MGF_4982 MGF_0202
MGF_4982 MGF_1611
MGF_4982 MGF_2585
MGF_4982 MGF_2578
MGF_4982 MGF_1673
MGF_4982 MGF_5173
MGF_4982 MGF_1585
MGF_4982 MGF_0998
MGF_4982 MGF_3868
MGF_4982 MGF_0480
MGF_4982 MGF_5131
MGF_4982 MGF_1601
MGF_4982 MGF_1732
MGF_4982 MGF_2383
MGF_4982 MGF_2614
MGF_4982 MGF_2611
MGF_4982 MGF_1617
MGF_4982 MGF_0979
MGF_5007 MGF_0334
MGF_5007 MGF_1430
MGF_5007 MGF_4603
MGF_5007 MGF_0114
MGF_5007 MGF_0175
MGF_5007 MGF_2614
MGF_5007 MGF_1152
MGF_5007 MGF_0346
MGF_5047 MGF_2871
MGF_5091 MGF_5097
MGF_5091 MGF_3888
MGF_5091 MGF_3936
MGF_5091 MGF_0467
MGF_5091 MGF_3928
MGF_5091 MGF_3901
MGF_5091 MGF_3924
MGF_5091 MGF_4087
MGF_5091 MGF_3929
MGF_5091 MGF_3919
MGF_5091 MGF_3910
MGF_5097 MGF_0467
MGF_5097 MGF_3888
MGF_5097 MGF_3936
MGF_5097 MGF_3928
MGF_5097 MGF_3924
MGF_5097 MGF_4087
MGF_5097 MGF_5091
MGF_5097 MGF_3929
MGF_5097 MGF_3919
MGF_5097 MGF_3901
MGF_5097 MGF_3910
MGF_5128 MGF_4587
MGF_5128 MGF_1389
MGF_5128 MGF_4927
MGF_5128 MGF_4565
MGF_5128 MGF_2614
MGF_5128 MGF_1401
MGF_5131 MGF_1611
MGF_5131 MGF_1673
MGF_5131 MGF_2383
MGF_5131 MGF_2578
MGF_5131 MGF_2614
MGF_5131 MGF_2611
MGF_5131 MGF_1617
MGF_5131 MGF_3873
MGF_5131 MGF_0979
MGF_5131 MGF_2585
MGF_5131 MGF_1585
MGF_5131 MGF_5160
MGF_5131 MGF_3868
MGF_5131 MGF_0998
MGF_5131 MGF_0202
MGF_5131 MGF_0480
MGF_5131 MGF_1732
MGF_5131 MGF_4982
MGF_5141 MGF_5658
MGF_5141 MGF_1587
MGF_5141 MGF_4621
MGF_5141 MGF_0350
MGF_5141 MGF_1584
MGF_5141 MGF_1597
MGF_5141 MGF_0354
MGF_5155 MGF_4830
MGF_5160 MGF_5131
MGF_5173 MGF_1601
MGF_5173 MGF_4982
MGF_5173 MGF_2611
MGF_5586 MGF_2562
MGF_5586 MGF_4896
MGF_5602 MGF_4830
MGF_5609 MGF_2598
MGF_5609 MGF_0350
MGF_5609 MGF_4004
MGF_5609 MGF_3264
MGF_5609 MGF_0941
MGF_5651 MGF_5712
MGF_5651 MGF_4355
MGF_5651 MGF_0676
MGF_5651 MGF_4777
MGF_5651 MGF_4340
MGF_5651 MGF_2614
MGF_5651 MGF_1705
MGF_5658 MGF_0354
MGF_5658 MGF_0334
MGF_5658 MGF_4621
MGF_5658 MGF_0350
MGF_5658 MGF_2533
MGF_5658 MGF_0346
MGF_5658 MGF_2540
MGF_5658 MGF_5141
MGF_5712 MGF_4355
MGF_5712 MGF_5651
MGF_5712 MGF_0676
MGF_5712 MGF_4777
MGF_5712 MGF_2614
MGF_5712 MGF_1705
MGF_5712 MGF_4340
