KNP414_00001 KNP414_07124
KNP414_00049 KNP414_03676
KNP414_00049 KNP414_00048
KNP414_00049 KNP414_00051
KNP414_00049 KNP414_00050
KNP414_00050 KNP414_00052
KNP414_00050 KNP414_00053
KNP414_00050 KNP414_03676
KNP414_00050 KNP414_00190
KNP414_00050 KNP414_00048
KNP414_00050 KNP414_00051
KNP414_00050 KNP414_00054
KNP414_00050 KNP414_00055
KNP414_00050 KNP414_00049
KNP414_00051 KNP414_03676
KNP414_00051 KNP414_00052
KNP414_00051 KNP414_00054
KNP414_00051 KNP414_00055
KNP414_00051 KNP414_00049
KNP414_00051 KNP414_00050
KNP414_00051 KNP414_00048
KNP414_00051 KNP414_00190
KNP414_00051 KNP414_00053
KNP414_00052 KNP414_00050
KNP414_00052 KNP414_00051
KNP414_00052 KNP414_00053
KNP414_00052 KNP414_03676
KNP414_00052 KNP414_00049
KNP414_00052 KNP414_00190
KNP414_00052 KNP414_00048
KNP414_00052 KNP414_00054
KNP414_00052 KNP414_00055
KNP414_00053 KNP414_00052
KNP414_00053 KNP414_03676
KNP414_00053 KNP414_00048
KNP414_00053 KNP414_00055
KNP414_00053 KNP414_00054
KNP414_00053 KNP414_00049
KNP414_00053 KNP414_00190
KNP414_00053 KNP414_00050
KNP414_00053 KNP414_00051
KNP414_00054 KNP414_00050
KNP414_00054 KNP414_00051
KNP414_00054 KNP414_00052
KNP414_00054 KNP414_00053
KNP414_00054 KNP414_03676
KNP414_00054 KNP414_00048
KNP414_00054 KNP414_00055
KNP414_00054 KNP414_00049
KNP414_00054 KNP414_00190
KNP414_00055 KNP414_00052
KNP414_00055 KNP414_00054
KNP414_00055 KNP414_00049
KNP414_00055 KNP414_00053
KNP414_00055 KNP414_03676
KNP414_00055 KNP414_00190
KNP414_00055 KNP414_00048
KNP414_00055 KNP414_00050
KNP414_00055 KNP414_00051
KNP414_00064 KNP414_07178
KNP414_00064 KNP414_00674
KNP414_00065 KNP414_00674
KNP414_00065 KNP414_07178
KNP414_00066 KNP414_07178
KNP414_00066 KNP414_00674
KNP414_00071 KNP414_07031
KNP414_00071 KNP414_04063
KNP414_00071 KNP414_07602
KNP414_00071 KNP414_00045
KNP414_00076 KNP414_00077
KNP414_00077 KNP414_00076
KNP414_00079 KNP414_05740
KNP414_00079 KNP414_05781
KNP414_00079 KNP414_07550
KNP414_00080 KNP414_07887
KNP414_00080 KNP414_01089
KNP414_00080 KNP414_04480
KNP414_00080 KNP414_01928
KNP414_00080 KNP414_04654
KNP414_00080 KNP414_06812
KNP414_00080 KNP414_05859
KNP414_00080 KNP414_01358
KNP414_00080 KNP414_04772
KNP414_00080 KNP414_03731
KNP414_00080 KNP414_04491
KNP414_00080 KNP414_04655
KNP414_00080 KNP414_00551
KNP414_00080 KNP414_05748
KNP414_00080 KNP414_06264
KNP414_00081 KNP414_03121
KNP414_00081 KNP414_00663
KNP414_00081 KNP414_03450
KNP414_00081 KNP414_06102
KNP414_00081 KNP414_04771
KNP414_00081 KNP414_01507
KNP414_00081 KNP414_03551
KNP414_00081 KNP414_06049
KNP414_00081 KNP414_07288
KNP414_00081 KNP414_01528
KNP414_00081 KNP414_01610
KNP414_00081 KNP414_04934
KNP414_00081 KNP414_00944
KNP414_00081 KNP414_05311
KNP414_00081 KNP414_03919
KNP414_00081 KNP414_06661
KNP414_00081 KNP414_00201
KNP414_00081 KNP414_02861
KNP414_00081 KNP414_01767
KNP414_00081 KNP414_03628
KNP414_00081 KNP414_06731
KNP414_00081 KNP414_05036
KNP414_00081 KNP414_04933
KNP414_00081 KNP414_05991
KNP414_00081 KNP414_03882
KNP414_00081 KNP414_00041
KNP414_00081 KNP414_00269
KNP414_00081 KNP414_00580
KNP414_00081 KNP414_02359
KNP414_00081 KNP414_06216
KNP414_00081 KNP414_04778
KNP414_00081 KNP414_00206
KNP414_00081 KNP414_07646
KNP414_00081 KNP414_03120
KNP414_00081 KNP414_06741
KNP414_00081 KNP414_02699
KNP414_00081 KNP414_06048
KNP414_00081 KNP414_04779
KNP414_00081 KNP414_02860
KNP414_00081 KNP414_05077
KNP414_00081 KNP414_06547
KNP414_00081 KNP414_00666
KNP414_00091 KNP414_04020
KNP414_00091 KNP414_05363
KNP414_00091 KNP414_02921
KNP414_00091 KNP414_06474
KNP414_00091 KNP414_04838
KNP414_00091 KNP414_04334
KNP414_00091 KNP414_05916
KNP414_00091 KNP414_01203
KNP414_00093 KNP414_00094
KNP414_00094 KNP414_00093
KNP414_00117 KNP414_03355
KNP414_00125 KNP414_04936
KNP414_00125 KNP414_00128
KNP414_00125 KNP414_00127
KNP414_00126 KNP414_04435
KNP414_00126 KNP414_07442
KNP414_00126 KNP414_00129
KNP414_00126 KNP414_04153
KNP414_00126 KNP414_06234
KNP414_00126 KNP414_06240
KNP414_00126 KNP414_04935
KNP414_00126 KNP414_06161
KNP414_00126 KNP414_00128
KNP414_00126 KNP414_00127
KNP414_00126 KNP414_03964
KNP414_00126 KNP414_06233
KNP414_00126 KNP414_02752
KNP414_00127 KNP414_00125
KNP414_00127 KNP414_04936
KNP414_00127 KNP414_04153
KNP414_00127 KNP414_00126
KNP414_00128 KNP414_00126
KNP414_00128 KNP414_00125
KNP414_00128 KNP414_04935
KNP414_00128 KNP414_06161
KNP414_00128 KNP414_04936
KNP414_00129 KNP414_04038
KNP414_00129 KNP414_06233
KNP414_00129 KNP414_00130
KNP414_00129 KNP414_06234
KNP414_00129 KNP414_00126
KNP414_00129 KNP414_04935
KNP414_00129 KNP414_06161
KNP414_00129 KNP414_04035
KNP414_00129 KNP414_03964
KNP414_00129 KNP414_04036
KNP414_00130 KNP414_02658
KNP414_00130 KNP414_01144
KNP414_00130 KNP414_00129
KNP414_00130 KNP414_04036
KNP414_00130 KNP414_04952
KNP414_00130 KNP414_05705
KNP414_00130 KNP414_07443
KNP414_00130 KNP414_00131
KNP414_00130 KNP414_05757
KNP414_00130 KNP414_06161
KNP414_00130 KNP414_02824
KNP414_00130 KNP414_02511
KNP414_00130 KNP414_04035
KNP414_00130 KNP414_00860
KNP414_00130 KNP414_06493
KNP414_00130 KNP414_03718
KNP414_00130 KNP414_07575
KNP414_00130 KNP414_04038
KNP414_00130 KNP414_01142
KNP414_00130 KNP414_03006
KNP414_00130 KNP414_00951
KNP414_00130 KNP414_03472
KNP414_00130 KNP414_07947
KNP414_00131 KNP414_03757
KNP414_00131 KNP414_02100
KNP414_00131 KNP414_03759
KNP414_00131 KNP414_05730
KNP414_00131 KNP414_01281
KNP414_00131 KNP414_03758
KNP414_00131 KNP414_03964
KNP414_00131 KNP414_00860
KNP414_00131 KNP414_01280
KNP414_00131 KNP414_01283
KNP414_00131 KNP414_05731
KNP414_00131 KNP414_03033
KNP414_00131 KNP414_07327
KNP414_00131 KNP414_04952
KNP414_00131 KNP414_00130
KNP414_00131 KNP414_07443
KNP414_00131 KNP414_06233
KNP414_00131 KNP414_05968
KNP414_00131 KNP414_02444
KNP414_00131 KNP414_01142
KNP414_00131 KNP414_06234
KNP414_00131 KNP414_01287
KNP414_00133 KNP414_05061
KNP414_00138 KNP414_00890
KNP414_00138 KNP414_00889
KNP414_00138 KNP414_00139
KNP414_00139 KNP414_00138
KNP414_00139 KNP414_00890
KNP414_00139 KNP414_00889
KNP414_00148 KNP414_01611
KNP414_00166 KNP414_02654
KNP414_00166 KNP414_04533
KNP414_00166 KNP414_01817
KNP414_00166 KNP414_04768
KNP414_00166 KNP414_00592
KNP414_00166 KNP414_04532
KNP414_00166 KNP414_07713
KNP414_00174 KNP414_05208
KNP414_00174 KNP414_00023
KNP414_00174 KNP414_03027
KNP414_00174 KNP414_05676
KNP414_00175 KNP414_02090
KNP414_00187 KNP414_02274
KNP414_00187 KNP414_02272
KNP414_00187 KNP414_05962
KNP414_00187 KNP414_06938
KNP414_00187 KNP414_04856
KNP414_00187 KNP414_04957
KNP414_00187 KNP414_01693
KNP414_00187 KNP414_07730
KNP414_00187 KNP414_04469
KNP414_00187 KNP414_04869
KNP414_00187 KNP414_06658
KNP414_00187 KNP414_05707
KNP414_00187 KNP414_06087
KNP414_00187 KNP414_04743
KNP414_00187 KNP414_03597
KNP414_00187 KNP414_02141
KNP414_00187 KNP414_02273
KNP414_00187 KNP414_02134
KNP414_00187 KNP414_06937
KNP414_00187 KNP414_04870
KNP414_00187 KNP414_04468
KNP414_00187 KNP414_05963
KNP414_00187 KNP414_05031
KNP414_00187 KNP414_05708
KNP414_00187 KNP414_05961
KNP414_00187 KNP414_01395
KNP414_00187 KNP414_06088
KNP414_00187 KNP414_02131
KNP414_00187 KNP414_07734
KNP414_00187 KNP414_06089
KNP414_00187 KNP414_04530
KNP414_00187 KNP414_01397
KNP414_00187 KNP414_07731
KNP414_00187 KNP414_04958
KNP414_00187 KNP414_06656
KNP414_00187 KNP414_06657
KNP414_00187 KNP414_06693
KNP414_00187 KNP414_04858
KNP414_00187 KNP414_06695
KNP414_00187 KNP414_05030
KNP414_00187 KNP414_05709
KNP414_00187 KNP414_07089
KNP414_00187 KNP414_03599
KNP414_00187 KNP414_04868
KNP414_00187 KNP414_01396
KNP414_00187 KNP414_07732
KNP414_00187 KNP414_07087
KNP414_00187 KNP414_04857
KNP414_00187 KNP414_06694
KNP414_00187 KNP414_02143
KNP414_00187 KNP414_01695
KNP414_00187 KNP414_04470
KNP414_00187 KNP414_04959
KNP414_00187 KNP414_06939
KNP414_00187 KNP414_05029
KNP414_00187 KNP414_02142
KNP414_00187 KNP414_03598
KNP414_00187 KNP414_07088
KNP414_00190 KNP414_01279
KNP414_00190 KNP414_00052
KNP414_00190 KNP414_00054
KNP414_00190 KNP414_00055
KNP414_00190 KNP414_00049
KNP414_00190 KNP414_00050
KNP414_00190 KNP414_00051
KNP414_00190 KNP414_00053
KNP414_00190 KNP414_03676
KNP414_00190 KNP414_00048
KNP414_00193 KNP414_00201
KNP414_00193 KNP414_00194
KNP414_00193 KNP414_05036
KNP414_00193 KNP414_00199
KNP414_00194 KNP414_05036
KNP414_00194 KNP414_00201
KNP414_00194 KNP414_00193
KNP414_00194 KNP414_00199
KNP414_00195 KNP414_01441
KNP414_00195 KNP414_00200
KNP414_00195 KNP414_06650
KNP414_00196 KNP414_02798
KNP414_00196 KNP414_00197
KNP414_00196 KNP414_00198
KNP414_00196 KNP414_07373
KNP414_00197 KNP414_00198
KNP414_00197 KNP414_05687
KNP414_00197 KNP414_07327
KNP414_00197 KNP414_00196
KNP414_00197 KNP414_07319
KNP414_00197 KNP414_06403
KNP414_00198 KNP414_06403
KNP414_00198 KNP414_07319
KNP414_00198 KNP414_00197
KNP414_00198 KNP414_05687
KNP414_00198 KNP414_07327
KNP414_00198 KNP414_00196
KNP414_00199 KNP414_00194
KNP414_00199 KNP414_05687
KNP414_00199 KNP414_00193
KNP414_00200 KNP414_00195
KNP414_00200 KNP414_06650
KNP414_00200 KNP414_02798
KNP414_00200 KNP414_07373
KNP414_00201 KNP414_04934
KNP414_00201 KNP414_00193
KNP414_00201 KNP414_01767
KNP414_00201 KNP414_06049
KNP414_00201 KNP414_05036
KNP414_00201 KNP414_07322
KNP414_00201 KNP414_04933
KNP414_00201 KNP414_05991
KNP414_00201 KNP414_00041
KNP414_00201 KNP414_05307
KNP414_00201 KNP414_04778
KNP414_00201 KNP414_00081
KNP414_00201 KNP414_03450
KNP414_00201 KNP414_03120
KNP414_00201 KNP414_04033
KNP414_00201 KNP414_04779
KNP414_00201 KNP414_02699
KNP414_00201 KNP414_00194
KNP414_00201 KNP414_03121
KNP414_00201 KNP414_00663
KNP414_00203 KNP414_07035
KNP414_00203 KNP414_01106
KNP414_00203 KNP414_03740
KNP414_00203 KNP414_02596
KNP414_00203 KNP414_03088
KNP414_00206 KNP414_01528
KNP414_00206 KNP414_01610
KNP414_00206 KNP414_04934
KNP414_00206 KNP414_00081
KNP414_00206 KNP414_03919
KNP414_00206 KNP414_05311
KNP414_00206 KNP414_04443
KNP414_00206 KNP414_04778
KNP414_00206 KNP414_02071
KNP414_00206 KNP414_04933
KNP414_00206 KNP414_05990
KNP414_00206 KNP414_06102
KNP414_00206 KNP414_03121
KNP414_00206 KNP414_00663
KNP414_00206 KNP414_04771
KNP414_00206 KNP414_03153
KNP414_00206 KNP414_01507
KNP414_00206 KNP414_07077
KNP414_00206 KNP414_06049
KNP414_00206 KNP414_06661
KNP414_00206 KNP414_03643
KNP414_00206 KNP414_03551
KNP414_00206 KNP414_01718
KNP414_00206 KNP414_07646
KNP414_00206 KNP414_00666
KNP414_00206 KNP414_02359
KNP414_00206 KNP414_04766
KNP414_00206 KNP414_02521
KNP414_00206 KNP414_02540
KNP414_00206 KNP414_00580
KNP414_00206 KNP414_00269
KNP414_00206 KNP414_06216
KNP414_00206 KNP414_03120
KNP414_00206 KNP414_04779
KNP414_00206 KNP414_06048
KNP414_00217 KNP414_02027
KNP414_00217 KNP414_00219
KNP414_00217 KNP414_03551
KNP414_00217 KNP414_06102
KNP414_00217 KNP414_03120
KNP414_00217 KNP414_04779
KNP414_00217 KNP414_06048
KNP414_00217 KNP414_04934
KNP414_00217 KNP414_05311
KNP414_00217 KNP414_00663
KNP414_00217 KNP414_00666
KNP414_00217 KNP414_03121
KNP414_00217 KNP414_07646
KNP414_00217 KNP414_01528
KNP414_00217 KNP414_01610
KNP414_00217 KNP414_00218
KNP414_00217 KNP414_04771
KNP414_00217 KNP414_06049
KNP414_00217 KNP414_04933
KNP414_00217 KNP414_00580
KNP414_00217 KNP414_02359
KNP414_00217 KNP414_02443
KNP414_00217 KNP414_04778
KNP414_00218 KNP414_02803
KNP414_00218 KNP414_02443
KNP414_00218 KNP414_06143
KNP414_00218 KNP414_00353
KNP414_00218 KNP414_03168
KNP414_00218 KNP414_02027
KNP414_00218 KNP414_02208
KNP414_00218 KNP414_00220
KNP414_00218 KNP414_00217
KNP414_00219 KNP414_03120
KNP414_00219 KNP414_01936
KNP414_00219 KNP414_05311
KNP414_00219 KNP414_03121
KNP414_00219 KNP414_00663
KNP414_00219 KNP414_04779
KNP414_00219 KNP414_06048
KNP414_00219 KNP414_04771
KNP414_00219 KNP414_02359
KNP414_00219 KNP414_02443
KNP414_00219 KNP414_04778
KNP414_00219 KNP414_03551
KNP414_00219 KNP414_04933
KNP414_00219 KNP414_01528
KNP414_00219 KNP414_01610
KNP414_00219 KNP414_04934
KNP414_00219 KNP414_02027
KNP414_00219 KNP414_06181
KNP414_00219 KNP414_06049
KNP414_00219 KNP414_07646
KNP414_00219 KNP414_00580
KNP414_00219 KNP414_06102
KNP414_00219 KNP414_00217
KNP414_00219 KNP414_00666
KNP414_00220 KNP414_00221
KNP414_00220 KNP414_04778
KNP414_00220 KNP414_07646
KNP414_00220 KNP414_03551
KNP414_00220 KNP414_03168
KNP414_00220 KNP414_00353
KNP414_00220 KNP414_00666
KNP414_00220 KNP414_02803
KNP414_00220 KNP414_06102
KNP414_00220 KNP414_04934
KNP414_00220 KNP414_02208
KNP414_00220 KNP414_06143
KNP414_00220 KNP414_03121
KNP414_00220 KNP414_01818
KNP414_00220 KNP414_03120
KNP414_00220 KNP414_06048
KNP414_00220 KNP414_04779
KNP414_00220 KNP414_00663
KNP414_00220 KNP414_04771
KNP414_00220 KNP414_00218
KNP414_00220 KNP414_01528
KNP414_00220 KNP414_04894
KNP414_00220 KNP414_06049
KNP414_00220 KNP414_04933
KNP414_00220 KNP414_01610
KNP414_00220 KNP414_02744
KNP414_00220 KNP414_00580
KNP414_00220 KNP414_05311
KNP414_00220 KNP414_02359
KNP414_00221 KNP414_04933
KNP414_00221 KNP414_00666
KNP414_00221 KNP414_00580
KNP414_00221 KNP414_02803
KNP414_00221 KNP414_06102
KNP414_00221 KNP414_04779
KNP414_00221 KNP414_06048
KNP414_00221 KNP414_03120
KNP414_00221 KNP414_07472
KNP414_00221 KNP414_05311
KNP414_00221 KNP414_06049
KNP414_00221 KNP414_02359
KNP414_00221 KNP414_01528
KNP414_00221 KNP414_04423
KNP414_00221 KNP414_00353
KNP414_00221 KNP414_03168
KNP414_00221 KNP414_00474
KNP414_00221 KNP414_02208
KNP414_00221 KNP414_06143
KNP414_00221 KNP414_00663
KNP414_00221 KNP414_04771
KNP414_00221 KNP414_00220
KNP414_00221 KNP414_03121
KNP414_00221 KNP414_04934
KNP414_00221 KNP414_01610
KNP414_00221 KNP414_02444
KNP414_00221 KNP414_01277
KNP414_00221 KNP414_04778
KNP414_00221 KNP414_03551
KNP414_00221 KNP414_07646
KNP414_00269 KNP414_01507
KNP414_00269 KNP414_03121
KNP414_00269 KNP414_06048
KNP414_00269 KNP414_04779
KNP414_00269 KNP414_01528
KNP414_00269 KNP414_00663
KNP414_00269 KNP414_04771
KNP414_00269 KNP414_00580
KNP414_00269 KNP414_02359
KNP414_00269 KNP414_06216
KNP414_00269 KNP414_04778
KNP414_00269 KNP414_00081
KNP414_00269 KNP414_03551
KNP414_00269 KNP414_00206
KNP414_00269 KNP414_07646
KNP414_00269 KNP414_06102
KNP414_00269 KNP414_03120
KNP414_00269 KNP414_01610
KNP414_00269 KNP414_04934
KNP414_00269 KNP414_03919
KNP414_00269 KNP414_05311
KNP414_00269 KNP414_06049
KNP414_00269 KNP414_06661
KNP414_00269 KNP414_04933
KNP414_00269 KNP414_00666
KNP414_00271 KNP414_03918
KNP414_00279 KNP414_01733
KNP414_00279 KNP414_02519
KNP414_00279 KNP414_03298
KNP414_00279 KNP414_04218
KNP414_00279 KNP414_04264
KNP414_00279 KNP414_05884
KNP414_00290 KNP414_03751
KNP414_00297 KNP414_05857
KNP414_00297 KNP414_05157
KNP414_00297 KNP414_04477
KNP414_00297 KNP414_00551
KNP414_00297 KNP414_04478
KNP414_00302 KNP414_05645
KNP414_00302 KNP414_01830
KNP414_00302 KNP414_01716
KNP414_00302 KNP414_01700
KNP414_00302 KNP414_00370
KNP414_00302 KNP414_01964
KNP414_00302 KNP414_01741
KNP414_00302 KNP414_07733
KNP414_00302 KNP414_03422
KNP414_00302 KNP414_06654
KNP414_00302 KNP414_02271
KNP414_00302 KNP414_02244
KNP414_00302 KNP414_06697
KNP414_00302 KNP414_04378
KNP414_00302 KNP414_02087
KNP414_00302 KNP414_04872
KNP414_00302 KNP414_04353
KNP414_00302 KNP414_04860
KNP414_00302 KNP414_01322
KNP414_00302 KNP414_05238
KNP414_00302 KNP414_00812
KNP414_00302 KNP414_04676
KNP414_00302 KNP414_02207
KNP414_00302 KNP414_05551
KNP414_00302 KNP414_06585
KNP414_00302 KNP414_03772
KNP414_00302 KNP414_04564
KNP414_00302 KNP414_02120
KNP414_00302 KNP414_04228
KNP414_00302 KNP414_04341
KNP414_00302 KNP414_03865
KNP414_00302 KNP414_01839
KNP414_00302 KNP414_02149
KNP414_00302 KNP414_03474
KNP414_00302 KNP414_06289
KNP414_00302 KNP414_01943
KNP414_00302 KNP414_02493
KNP414_00302 KNP414_02223
KNP414_00302 KNP414_06973
KNP414_00302 KNP414_04909
KNP414_00302 KNP414_02452
KNP414_00302 KNP414_02167
KNP414_00302 KNP414_06249
KNP414_00302 KNP414_02137
KNP414_00302 KNP414_04761
KNP414_00302 KNP414_00303
KNP414_00302 KNP414_00994
KNP414_00302 KNP414_06186
KNP414_00302 KNP414_07085
KNP414_00302 KNP414_04350
KNP414_00302 KNP414_01393
KNP414_00302 KNP414_00799
KNP414_00302 KNP414_06269
KNP414_00302 KNP414_04905
KNP414_00302 KNP414_02198
KNP414_00302 KNP414_06258
KNP414_00302 KNP414_06981
KNP414_00302 KNP414_04352
KNP414_00303 KNP414_06696
KNP414_00303 KNP414_02451
KNP414_00303 KNP414_03866
KNP414_00303 KNP414_06586
KNP414_00303 KNP414_04677
KNP414_00303 KNP414_06288
KNP414_00303 KNP414_04760
KNP414_00303 KNP414_07735
KNP414_00303 KNP414_03423
KNP414_00303 KNP414_05693
KNP414_00303 KNP414_06250
KNP414_00303 KNP414_03773
KNP414_00303 KNP414_02148
KNP414_00303 KNP414_04342
KNP414_00303 KNP414_03475
KNP414_00303 KNP414_04906
KNP414_00303 KNP414_04560
KNP414_00303 KNP414_00302
KNP414_00303 KNP414_05033
KNP414_00303 KNP414_02222
KNP414_00303 KNP414_04882
KNP414_00303 KNP414_06268
KNP414_00303 KNP414_01942
KNP414_00303 KNP414_00424
KNP414_00303 KNP414_02136
KNP414_00303 KNP414_02197
KNP414_00303 KNP414_01392
KNP414_00303 KNP414_01838
KNP414_00303 KNP414_00811
KNP414_00303 KNP414_04910
KNP414_00303 KNP414_02270
KNP414_00303 KNP414_00369
KNP414_00303 KNP414_04351
KNP414_00303 KNP414_04354
KNP414_00303 KNP414_01742
KNP414_00303 KNP414_06980
KNP414_00303 KNP414_01323
KNP414_00303 KNP414_01699
KNP414_00303 KNP414_01829
KNP414_00303 KNP414_01963
KNP414_00303 KNP414_04859
KNP414_00303 KNP414_04229
KNP414_00303 KNP414_05646
KNP414_00303 KNP414_04871
KNP414_00303 KNP414_06942
KNP414_00303 KNP414_02243
KNP414_00303 KNP414_02166
KNP414_00303 KNP414_01715
KNP414_00303 KNP414_05552
KNP414_00307 KNP414_05629
KNP414_00307 KNP414_01993
KNP414_00307 KNP414_02070
KNP414_00307 KNP414_05001
KNP414_00307 KNP414_04911
KNP414_00307 KNP414_03417
KNP414_00307 KNP414_01881
KNP414_00307 KNP414_00998
KNP414_00307 KNP414_02044
KNP414_00307 KNP414_04880
KNP414_00307 KNP414_04618
KNP414_00307 KNP414_05571
KNP414_00307 KNP414_02068
KNP414_00307 KNP414_04877
KNP414_00307 KNP414_07821
KNP414_00307 KNP414_02190
KNP414_00307 KNP414_01794
KNP414_00307 KNP414_03778
KNP414_00307 KNP414_01880
KNP414_00307 KNP414_07433
KNP414_00307 KNP414_04561
KNP414_00307 KNP414_07819
KNP414_00307 KNP414_04343
KNP414_00307 KNP414_04267
KNP414_00307 KNP414_05547
KNP414_00307 KNP414_02014
KNP414_00307 KNP414_03857
KNP414_00307 KNP414_02138
KNP414_00307 KNP414_01914
KNP414_00307 KNP414_01980
KNP414_00307 KNP414_03785
KNP414_00307 KNP414_01840
KNP414_00307 KNP414_06318
KNP414_00307 KNP414_01745
KNP414_00307 KNP414_04291
KNP414_00307 KNP414_00309
KNP414_00307 KNP414_02013
KNP414_00307 KNP414_01979
KNP414_00307 KNP414_06271
KNP414_00307 KNP414_03949
KNP414_00307 KNP414_04377
KNP414_00307 KNP414_05569
KNP414_00307 KNP414_05004
KNP414_00307 KNP414_03477
KNP414_00307 KNP414_04562
KNP414_00307 KNP414_04227
KNP414_00307 KNP414_00869
KNP414_00307 KNP414_05361
KNP414_00307 KNP414_04225
KNP414_00307 KNP414_04380
KNP414_00307 KNP414_03479
KNP414_00307 KNP414_06252
KNP414_00307 KNP414_04224
KNP414_00307 KNP414_06320
KNP414_00307 KNP414_04349
KNP414_00307 KNP414_05628
KNP414_00307 KNP414_02248
KNP414_00307 KNP414_04825
KNP414_00307 KNP414_04617
KNP414_00307 KNP414_02249
KNP414_00307 KNP414_03404
KNP414_00307 KNP414_03856
KNP414_00307 KNP414_03776
KNP414_00307 KNP414_01706
KNP414_00307 KNP414_06251
KNP414_00307 KNP414_04912
KNP414_00307 KNP414_04345
KNP414_00307 KNP414_03809
KNP414_00307 KNP414_02191
KNP414_00307 KNP414_01915
KNP414_00307 KNP414_00386
KNP414_00307 KNP414_01720
KNP414_00307 KNP414_04762
KNP414_00307 KNP414_04445
KNP414_00307 KNP414_01793
KNP414_00307 KNP414_04355
KNP414_00307 KNP414_00387
KNP414_00307 KNP414_04290
KNP414_00307 KNP414_00308
KNP414_00307 KNP414_06282
KNP414_00307 KNP414_02224
KNP414_00307 KNP414_04758
KNP414_00307 KNP414_04826
KNP414_00307 KNP414_04673
KNP414_00307 KNP414_03867
KNP414_00307 KNP414_06114
KNP414_00307 KNP414_02204
