VAA_00002 VAA_03253
VAA_00297 VAA_02849
VAA_00297 VAA_01944
VAA_00317 VAA_00177
VAA_00317 VAA_02548
VAA_00317 VAA_01597
VAA_00317 VAA_03550
VAA_00317 VAA_00511
VAA_00317 VAA_01407
VAA_00317 VAA_01561
VAA_00317 VAA_01474
VAA_00317 VAA_03321
VAA_00317 VAA_03144
VAA_00317 VAA_03328
VAA_00329 VAA_00263
VAA_00329 VAA_03720
VAA_00329 VAA_01439
VAA_00329 VAA_03030
VAA_00331 VAA_03242
VAA_00331 VAA_03004
VAA_00331 VAA_03243
VAA_00331 VAA_01522
VAA_00331 VAA_00819
VAA_00336 VAA_01521
VAA_00336 VAA_02127
VAA_00336 VAA_00051
VAA_00340 VAA_01908
VAA_00340 VAA_01256
VAA_00340 VAA_03326
VAA_00340 VAA_03388
VAA_00340 VAA_03385
VAA_00340 VAA_01419
VAA_00340 VAA_01906
VAA_00340 VAA_03382
VAA_00340 VAA_01443
VAA_00340 VAA_01903
VAA_00340 VAA_03386
VAA_00340 VAA_01904
VAA_00340 VAA_01414
VAA_00340 VAA_03054
VAA_00340 VAA_01412
VAA_00340 VAA_01902
VAA_00340 VAA_03524
VAA_00340 VAA_01416
VAA_00340 VAA_01418
VAA_00340 VAA_03525
VAA_00340 VAA_01907
VAA_00340 VAA_03383
VAA_00340 VAA_01901
VAA_00340 VAA_01417
VAA_00342 VAA_03764
VAA_00342 VAA_00762
VAA_00342 VAA_00185
VAA_00342 VAA_00184
VAA_00342 VAA_03277
VAA_00342 VAA_02344
VAA_00342 VAA_00264
VAA_00342 VAA_03671
VAA_00342 VAA_03081
VAA_00342 VAA_00950
VAA_00342 VAA_01618
VAA_00342 VAA_02960
VAA_00342 VAA_01620
VAA_00342 VAA_03794
VAA_00342 VAA_01352
VAA_00347 VAA_01950
VAA_00347 VAA_01759
VAA_00347 VAA_01528
VAA_00347 VAA_00510
VAA_00347 VAA_00584
VAA_00347 VAA_01949
VAA_00347 VAA_01663
VAA_00347 VAA_02710
VAA_00348 VAA_01644
VAA_00348 VAA_00462
VAA_00348 VAA_03497
VAA_00348 VAA_04291
VAA_00348 VAA_04290
VAA_00348 VAA_00693
VAA_00348 VAA_00703
VAA_00348 VAA_04313
VAA_00348 VAA_00907
VAA_00348 VAA_00908
VAA_00348 VAA_01634
VAA_00348 VAA_01199
VAA_00348 VAA_00733
VAA_00350 VAA_02695
VAA_00350 VAA_02380
VAA_00350 VAA_01394
VAA_00350 VAA_00808
VAA_00350 VAA_01952
VAA_00350 VAA_00177
VAA_00350 VAA_01597
VAA_00350 VAA_00619
VAA_00350 VAA_00511
VAA_00350 VAA_01627
VAA_00350 VAA_03766
VAA_00350 VAA_03328
VAA_00350 VAA_03767
VAA_00350 VAA_01561
VAA_00350 VAA_02382
VAA_00350 VAA_03765
VAA_00350 VAA_03857
VAA_00350 VAA_00351
VAA_00351 VAA_03766
VAA_00351 VAA_00619
VAA_00351 VAA_00511
VAA_00351 VAA_03767
VAA_00351 VAA_01561
VAA_00351 VAA_02382
VAA_00351 VAA_03765
VAA_00351 VAA_03857
VAA_00351 VAA_02695
VAA_00351 VAA_01394
VAA_00351 VAA_00808
VAA_00351 VAA_01952
VAA_00351 VAA_00177
VAA_00351 VAA_01597
VAA_00351 VAA_00350
VAA_00351 VAA_01627
VAA_00351 VAA_02380
VAA_00351 VAA_03328
VAA_00361 VAA_03291
VAA_00362 VAA_00934
VAA_00362 VAA_02613
VAA_00362 VAA_03572
VAA_00362 VAA_02047
VAA_00362 VAA_01537
VAA_00362 VAA_01535
VAA_00362 VAA_02993
VAA_00362 VAA_02755
VAA_00362 VAA_01536
VAA_00362 VAA_01551
VAA_00367 VAA_02154
VAA_00367 VAA_01106
VAA_00367 VAA_01677
VAA_00367 VAA_00742
VAA_00367 VAA_03338
VAA_00367 VAA_00999
VAA_00370 VAA_02735
VAA_00385 VAA_00177
VAA_00385 VAA_00511
VAA_00385 VAA_03328
VAA_00385 VAA_03144
VAA_00385 VAA_01597
VAA_00385 VAA_01561
VAA_00385 VAA_03321
VAA_00403 VAA_01634
VAA_00403 VAA_01106
VAA_00403 VAA_02095
VAA_00403 VAA_3320
VAA_00403 VAA_01677
VAA_00403 VAA_03497
VAA_00403 VAA_02154
VAA_00403 VAA_02580
VAA_00403 VAA_00742
VAA_00403 VAA_03338
VAA_00403 VAA_00693
VAA_00403 VAA_01644
VAA_00403 VAA_02967
VAA_00403 VAA_00999
VAA_00403 VAA_01001
VAA_00403 VAA_02320
VAA_00404 VAA_01106
VAA_00404 VAA_01677
VAA_00404 VAA_02154
VAA_00404 VAA_00742
VAA_00404 VAA_03338
VAA_00404 VAA_00999
VAA_00410 VAA_03588
VAA_00410 VAA_00609
VAA_00415 VAA_00508
VAA_00415 VAA_01165
VAA_00419 VAA_02420
VAA_00419 VAA_01815
VAA_00419 VAA_02102
VAA_00419 VAA_02100
VAA_00419 VAA_02421
VAA_00419 VAA_01085
VAA_00420 VAA_02420
VAA_00420 VAA_00773
VAA_00420 VAA_03539
VAA_00421 VAA_02321
VAA_00421 VAA_01569
VAA_00421 VAA_01815
VAA_00421 VAA_00773
VAA_00421 VAA_00772
VAA_00421 VAA_02862
VAA_00421 VAA_03539
VAA_00424 VAA_01271
VAA_00424 VAA_02634
VAA_00424 VAA_01883
VAA_00425 VAA_01599
VAA_00425 VAA_01409
VAA_00425 VAA_03318
VAA_00425 VAA_02393
VAA_00425 VAA_02247
VAA_00425 VAA_01429
VAA_00425 VAA_03439
VAA_00425 VAA_02646
VAA_00425 VAA_00456
VAA_00425 VAA_02198
VAA_00425 VAA_00433
VAA_00425 VAA_02248
VAA_00432 VAA_01835
VAA_00432 VAA_01834
VAA_00432 VAA_01833
VAA_00433 VAA_02393
VAA_00433 VAA_02247
VAA_00433 VAA_00425
VAA_00433 VAA_01429
VAA_00433 VAA_03439
VAA_00433 VAA_02646
VAA_00433 VAA_00456
VAA_00433 VAA_02198
VAA_00433 VAA_02248
VAA_00433 VAA_02977
VAA_00433 VAA_01599
VAA_00433 VAA_01409
VAA_00433 VAA_03318
VAA_00453 VAA_00272
VAA_00453 VAA_00273
VAA_00453 VAA_01624
VAA_00453 VAA_00271
VAA_00456 VAA_02249
VAA_00456 VAA_00457
VAA_00456 VAA_02198
VAA_00456 VAA_02977
VAA_00456 VAA_03439
VAA_00456 VAA_01599
VAA_00456 VAA_01409
VAA_00456 VAA_00433
VAA_00456 VAA_03318
VAA_00456 VAA_02646
VAA_00456 VAA_00425
VAA_00456 VAA_02248
VAA_00456 VAA_02393
VAA_00456 VAA_02247
VAA_00457 VAA_01683
VAA_00457 VAA_00456
VAA_00457 VAA_00611
VAA_00457 VAA_02728
VAA_00458 VAA_02613
VAA_00458 VAA_00685
VAA_00458 VAA_01537
VAA_00458 VAA_03258
VAA_00458 VAA_02755
VAA_00458 VAA_01536
VAA_00458 VAA_01535
VAA_00458 VAA_01551
VAA_00458 VAA_03346
VAA_00458 VAA_01539
VAA_00462 VAA_04290
VAA_00462 VAA_00908
VAA_00462 VAA_01199
VAA_00462 VAA_04291
VAA_00462 VAA_00907
VAA_00462 VAA_00348
VAA_00465 VAA_01522
VAA_00465 VAA_03004
VAA_00465 VAA_03242
VAA_00465 VAA_03243
VAA_00466 VAA_02143
VAA_00490 VAA_01664
VAA_00490 VAA_03718
VAA_00494 VAA_01409
VAA_00494 VAA_01599
VAA_00494 VAA_00263
VAA_00494 VAA_01439
VAA_00494 VAA_02198
VAA_00494 VAA_01791
VAA_00499 VAA_00204
VAA_00499 VAA_00205
VAA_00500 VAA_03497
VAA_00500 VAA_00744
VAA_00500 VAA_03766
VAA_00500 VAA_00693
VAA_00500 VAA_00501
VAA_00500 VAA_01634
VAA_00500 VAA_02354
VAA_00500 VAA_01644
VAA_00500 VAA_03596
VAA_00500 VAA_02204
VAA_00500 VAA_00886
VAA_00500 VAA_01662
VAA_00500 VAA_00618
VAA_00500 VAA_00958
VAA_00501 VAA_00886
VAA_00501 VAA_01662
VAA_00501 VAA_00958
VAA_00501 VAA_02663
VAA_00501 VAA_03497
VAA_00501 VAA_00500
VAA_00501 VAA_00744
VAA_00501 VAA_03766
VAA_00501 VAA_00693
VAA_00501 VAA_01634
VAA_00501 VAA_01644
VAA_00501 VAA_02535
VAA_00501 VAA_03596
VAA_00501 VAA_02204
VAA_00502 VAA_01164
VAA_00508 VAA_00691
VAA_00508 VAA_00415
VAA_00510 VAA_00347
VAA_00510 VAA_00815
VAA_00511 VAA_00350
VAA_00511 VAA_00620
VAA_00511 VAA_03321
VAA_00511 VAA_03766
VAA_00511 VAA_03338
VAA_00511 VAA_02695
VAA_00511 VAA_01627
VAA_00511 VAA_03550
VAA_00511 VAA_02380
VAA_00511 VAA_03144
VAA_00511 VAA_03328
VAA_00511 VAA_00385
VAA_00511 VAA_00847
VAA_00511 VAA_03767
VAA_00511 VAA_01979
VAA_00511 VAA_02548
VAA_00511 VAA_00618
VAA_00511 VAA_01394
VAA_00511 VAA_01662
VAA_00511 VAA_01095
VAA_00511 VAA_00808
VAA_00511 VAA_01952
VAA_00511 VAA_00177
VAA_00511 VAA_02353
VAA_00511 VAA_01407
VAA_00511 VAA_01474
VAA_00511 VAA_01597
VAA_00511 VAA_03337
VAA_00511 VAA_03562
VAA_00511 VAA_01977
VAA_00511 VAA_00578
VAA_00511 VAA_03575
VAA_00511 VAA_02290
VAA_00511 VAA_00619
VAA_00511 VAA_02382
VAA_00511 VAA_02771
VAA_00511 VAA_01561
VAA_00511 VAA_03765
VAA_00511 VAA_00317
VAA_00511 VAA_02109
VAA_00511 VAA_03857
VAA_00511 VAA_00351
VAA_00512 VAA_01106
VAA_00512 VAA_02772
VAA_00512 VAA_03307
VAA_00512 VAA_03599
VAA_00512 VAA_00715
VAA_00512 VAA_00999
VAA_00512 VAA_00698
VAA_00512 VAA_01082
VAA_00512 VAA_02128
VAA_00512 VAA_01652
VAA_00512 VAA_01599
VAA_00512 VAA_01868
VAA_00515 VAA_00516
VAA_00516 VAA_00515
VAA_00516 VAA_01953
VAA_00518 VAA_00519
VAA_00518 VAA_03628
VAA_00518 VAA_02229
VAA_00519 VAA_01625
VAA_00519 VAA_03628
VAA_00519 VAA_00263
VAA_00519 VAA_00518
VAA_00519 VAA_01439
VAA_00519 VAA_01624
VAA_00519 VAA_02229
VAA_00519 VAA_01160
VAA_00519 VAA_00859
VAA_00519 VAA_01953
VAA_00522 VAA_01471
VAA_00527 VAA_00113
VAA_00529 VAA_03415
VAA_00529 VAA_03277
VAA_00529 VAA_00531
VAA_00529 VAA_01259
VAA_00529 VAA_03413
VAA_00529 VAA_00761
VAA_00529 VAA_02609
VAA_00529 VAA_01746
VAA_00529 VAA_02769
VAA_00531 VAA_01259
VAA_00531 VAA_01685
VAA_00531 VAA_00741
VAA_00531 VAA_02584
VAA_00531 VAA_03354
VAA_00531 VAA_03416
VAA_00531 VAA_00709
VAA_00531 VAA_02545
VAA_00531 VAA_00658
VAA_00531 VAA_03277
VAA_00531 VAA_02337
VAA_00531 VAA_02057
VAA_00531 VAA_02021
VAA_00531 VAA_00711
VAA_00531 VAA_03801
VAA_00531 VAA_03243
VAA_00531 VAA_01430
VAA_00531 VAA_02616
VAA_00531 VAA_1482
VAA_00531 VAA_03184
VAA_00531 VAA_00529
VAA_00531 VAA_01746
VAA_00531 VAA_03407
VAA_00531 VAA_02769
VAA_00531 VAA_03561
VAA_00531 VAA_00710
VAA_00531 VAA_02020
VAA_00531 VAA_02544
VAA_00531 VAA_02226
VAA_00531 VAA_02019
VAA_00531 VAA_02547
VAA_00531 VAA_03408
VAA_00531 VAA_02096
VAA_00536 VAA_01298
VAA_00536 VAA_00538
VAA_00536 VAA_01299
VAA_00536 VAA_01064
VAA_00536 VAA_01300
VAA_00536 VAA_00541
VAA_00536 VAA_01297
VAA_00536 VAA_00537
VAA_00537 VAA_00538
VAA_00537 VAA_01298
VAA_00537 VAA_01064
VAA_00537 VAA_01299
VAA_00537 VAA_01300
VAA_00537 VAA_00536
VAA_00537 VAA_00541
VAA_00537 VAA_01297
VAA_00538 VAA_01298
VAA_00538 VAA_01300
VAA_00538 VAA_00541
VAA_00538 VAA_00537
VAA_00538 VAA_00536
VAA_00538 VAA_01297
VAA_00538 VAA_01299
VAA_00538 VAA_01064
VAA_00539 VAA_02142
VAA_00539 VAA_02725
VAA_00540 VAA_00620
VAA_00540 VAA_03767
VAA_00540 VAA_00616
VAA_00541 VAA_00536
VAA_00541 VAA_00538
VAA_00541 VAA_01298
VAA_00541 VAA_01299
VAA_00541 VAA_01064
VAA_00541 VAA_01300
VAA_00541 VAA_01297
VAA_00541 VAA_00537
VAA_00542 VAA_00543
VAA_00543 VAA_00542
VAA_00547 VAA_00627
VAA_00547 VAA_02046
VAA_00559 VAA_00560
VAA_00559 VAA_00561
VAA_00560 VAA_00559
VAA_00560 VAA_00561
VAA_00561 VAA_00560
VAA_00561 VAA_00559
VAA_00563 VAA_01354
VAA_00563 VAA_03793
VAA_00563 VAA_02637
VAA_00563 VAA_02881
VAA_00563 VAA_02884
VAA_00563 VAA_00565
VAA_00563 VAA_00564
VAA_00564 VAA_00565
VAA_00564 VAA_00563
VAA_00564 VAA_02884
VAA_00564 VAA_02881
VAA_00565 VAA_00563
VAA_00565 VAA_02884
VAA_00565 VAA_00564
VAA_00570 VAA_03789
VAA_00570 VAA_02591
VAA_00570 VAA_03492
VAA_00570 VAA_01086
VAA_00577 VAA_00785
VAA_00577 VAA_00936
VAA_00577 VAA_01951
VAA_00578 VAA_01597
VAA_00578 VAA_00511
VAA_00578 VAA_03144
VAA_00578 VAA_03328
VAA_00578 VAA_01561
VAA_00578 VAA_00177
VAA_00578 VAA_03321
VAA_00584 VAA_01759
VAA_00584 VAA_00347
VAA_00584 VAA_01663
VAA_00584 VAA_00815
VAA_00586 VAA_00869
VAA_00586 VAA_01316
VAA_00586 VAA_00870
VAA_00586 VAA_02491
VAA_00586 VAA_03795
VAA_00586 VAA_00866
VAA_00586 VAA_03796
VAA_00588 VAA_03750
VAA_00588 VAA_00589
VAA_00588 VAA_01133
VAA_00589 VAA_00588
VAA_00589 VAA_03750
VAA_00589 VAA_01133
VAA_00609 VAA_00410
VAA_00609 VAA_03588
VAA_00611 VAA_02728
VAA_00611 VAA_00457
VAA_00611 VAA_03788
VAA_00616 VAA_00620
VAA_00616 VAA_00540
VAA_00616 VAA_03767
VAA_00618 VAA_03596
VAA_00618 VAA_01561
VAA_00618 VAA_02204
VAA_00618 VAA_01979
VAA_00618 VAA_00886
VAA_00618 VAA_00958
VAA_00618 VAA_00808
VAA_00618 VAA_00177
VAA_00618 VAA_00620
VAA_00618 VAA_03497
VAA_00618 VAA_00500
VAA_00618 VAA_00744
VAA_00618 VAA_01977
VAA_00618 VAA_00511
VAA_00618 VAA_03766
VAA_00618 VAA_00693
VAA_00618 VAA_02354
VAA_00618 VAA_01634
VAA_00618 VAA_03328
VAA_00618 VAA_01644
VAA_00619 VAA_00511
VAA_00619 VAA_03766
VAA_00619 VAA_00350
VAA_00619 VAA_01627
VAA_00619 VAA_02695
VAA_00619 VAA_02380
VAA_00619 VAA_01561
VAA_00619 VAA_03328
VAA_00619 VAA_03767
VAA_00619 VAA_02382
VAA_00619 VAA_03765
VAA_00619 VAA_03857
VAA_00619 VAA_00351
VAA_00619 VAA_01394
VAA_00619 VAA_00808
VAA_00619 VAA_01952
VAA_00619 VAA_00177
VAA_00619 VAA_01597
VAA_00620 VAA_00616
VAA_00620 VAA_00618
VAA_00620 VAA_00808
VAA_00620 VAA_00177
VAA_00620 VAA_01977
VAA_00620 VAA_00511
VAA_00620 VAA_00540
VAA_00620 VAA_03328
VAA_00620 VAA_01979
VAA_00620 VAA_03767
VAA_00620 VAA_01561
VAA_00623 VAA_00624
VAA_00624 VAA_00623
VAA_00625 VAA_03539
VAA_00625 VAA_02321
VAA_00625 VAA_01569
VAA_00625 VAA_02431
VAA_00625 VAA_00773
VAA_00625 VAA_00775
VAA_00627 VAA_00547
VAA_00627 VAA_02046
VAA_00638 VAA_03229
VAA_00639 VAA_02534
VAA_00641 VAA_03420
VAA_00641 VAA_03507
VAA_00641 VAA_03669
VAA_00642 VAA_00273
VAA_00642 VAA_02711
VAA_00642 VAA_02713
VAA_00642 VAA_02712
VAA_00658 VAA_03764
VAA_00658 VAA_03693
VAA_00658 VAA_01685
VAA_00658 VAA_03416
VAA_00658 VAA_01599
VAA_00658 VAA_00741
VAA_00658 VAA_01865
VAA_00658 VAA_01882
VAA_00658 VAA_03694
VAA_00658 VAA_02208
VAA_00658 VAA_00709
VAA_00658 VAA_00711
VAA_00658 VAA_03691
VAA_00658 VAA_02337
VAA_00658 VAA_00177
VAA_00658 VAA_02568
VAA_00658 VAA_01259
VAA_00658 VAA_03141
VAA_00658 VAA_02021
VAA_00658 VAA_00531
VAA_00658 VAA_03328
VAA_00658 VAA_03692
VAA_00658 VAA_03782
VAA_00658 VAA_02616
VAA_00658 VAA_02622
VAA_00658 VAA_00710
VAA_00658 VAA_02020
VAA_00658 VAA_00740
VAA_00658 VAA_01561
VAA_00658 VAA_02019
VAA_00658 VAA_02547
VAA_00663 VAA_02959
VAA_00663 VAA_02218
VAA_00663 VAA_02562
VAA_00663 VAA_01525
VAA_00663 VAA_01865
VAA_00663 VAA_03535
VAA_00663 VAA_03694
VAA_00663 VAA_00997
VAA_00663 VAA_03080
VAA_00663 VAA_03703
VAA_00663 VAA_03692
VAA_00663 VAA_01001
VAA_00663 VAA_01664
VAA_00663 VAA_03592
VAA_00663 VAA_00998
VAA_00663 VAA_03125
VAA_00663 VAA_00742
VAA_00663 VAA_01923
VAA_00663 VAA_02624
VAA_00663 VAA_03693
VAA_00663 VAA_01526
VAA_00663 VAA_03691
VAA_00663 VAA_00715
VAA_00663 VAA_02092
VAA_00663 VAA_00175
VAA_00663 VAA_03704
VAA_00666 VAA_03557
VAA_00666 VAA_0067
VAA_0067 VAA_00666
VAA_00670 VAA_00886
VAA_00670 VAA_03668
VAA_00670 VAA_03497
VAA_00670 VAA_02709
VAA_00670 VAA_00150
VAA_00670 VAA_00693
VAA_00670 VAA_01634
VAA_00670 VAA_01644
VAA_00670 VAA_02913
VAA_00670 VAA_02204
VAA_00685 VAA_02613
VAA_00685 VAA_01537
VAA_00685 VAA_01536
VAA_00685 VAA_02755
VAA_00685 VAA_01535
VAA_00685 VAA_00458
VAA_00685 VAA_01551
VAA_00685 VAA_03346
VAA_00685 VAA_01539
VAA_00686 VAA_00752
VAA_00686 VAA_00799
VAA_00686 VAA_00687
VAA_00687 VAA_00686
VAA_00687 VAA_00752
VAA_00687 VAA_00799
VAA_00688 VAA_03719
VAA_00688 VAA_03800
VAA_00690 VAA_03506
VAA_00690 VAA_03571
VAA_00691 VAA_03506
VAA_00691 VAA_00508
VAA_00693 VAA_02709
VAA_00693 VAA_00886
VAA_00693 VAA_01662
VAA_00693 VAA_00703
VAA_00693 VAA_3320
VAA_00693 VAA_00618
VAA_00693 VAA_00958
VAA_00693 VAA_03668
VAA_00693 VAA_02373
VAA_00693 VAA_02663
VAA_00693 VAA_00733
VAA_00693 VAA_03575
VAA_00693 VAA_00403
VAA_00693 VAA_00500
VAA_00693 VAA_03497
VAA_00693 VAA_00744
VAA_00693 VAA_02154
VAA_00693 VAA_02290
VAA_00693 VAA_03321
VAA_00693 VAA_00150
VAA_00693 VAA_03338
VAA_00693 VAA_03766
VAA_00693 VAA_00670
VAA_00693 VAA_02208
VAA_00693 VAA_00907
VAA_00693 VAA_02285
VAA_00693 VAA_03670
VAA_00693 VAA_00501
VAA_00693 VAA_01634
VAA_00693 VAA_02354
VAA_00693 VAA_03144
VAA_00693 VAA_03542
VAA_00693 VAA_02967
VAA_00693 VAA_01644
VAA_00693 VAA_02535
VAA_00693 VAA_03596
VAA_00693 VAA_02913
VAA_00693 VAA_03099
VAA_00693 VAA_02109
VAA_00693 VAA_02204
VAA_00693 VAA_00348
VAA_00698 VAA_01868
VAA_00698 VAA_01599
VAA_00698 VAA_02261
VAA_00698 VAA_00272
VAA_00698 VAA_02454
VAA_00698 VAA_02772
VAA_00698 VAA_02515
VAA_00698 VAA_03307
VAA_00698 VAA_02582
VAA_00698 VAA_01624
VAA_00698 VAA_02614
VAA_00698 VAA_00271
