DMR_00010 DMR_30800
DMR_01860 DMR_33440
DMR_01860 DMR_02830
DMR_01860 DMR_10020
DMR_01860 DMR_02850
DMR_01860 DMR_23750
DMR_01860 DMR_19040
DMR_01860 DMR_23770
DMR_01860 DMR_33460
DMR_01860 DMR_11050
DMR_01860 DMR_26640
DMR_01860 DMR_23920
DMR_01860 DMR_18430
DMR_01860 DMR_27990
DMR_01860 DMR_09310
DMR_01860 DMR_23820
DMR_01860 DMR_36600
DMR_01860 DMR_33430
DMR_01860 DMR_33480
DMR_01860 DMR_23780
DMR_01860 DMR_16140
DMR_01890 DMR_16700
DMR_01900 DMR_05410
DMR_01900 DMR_01920
DMR_01900 DMR_01910
DMR_01900 DMR_22120
DMR_01900 DMR_05420
DMR_01910 DMR_01920
DMR_01910 DMR_05410
DMR_01910 DMR_22120
DMR_01910 DMR_01900
DMR_01910 DMR_05420
DMR_01920 DMR_22120
DMR_01920 DMR_05410
DMR_01920 DMR_01910
DMR_01920 DMR_01900
DMR_01920 DMR_05420
DMR_02110 DMR_40020
DMR_02110 DMR_06940
DMR_02110 DMR_35770
DMR_02170 DMR_19030
DMR_02170 DMR_33260
DMR_02170 DMR_33250
DMR_02200 DMR_17890
DMR_02200 DMR_18190
DMR_02200 DMR_00720
DMR_02200 DMR_00400
DMR_02200 DMR_03250
DMR_02200 DMR_05910
DMR_02200 DMR_42760
DMR_02200 DMR_02490
DMR_02200 DMR_45930
DMR_02200 DMR_00560
DMR_02200 DMR_26530
DMR_02200 DMR_34740
DMR_02220 DMR_04460
DMR_02220 DMR_16420
DMR_02430 DMR_09310
DMR_02430 DMR_33460
DMR_02430 DMR_33430
DMR_02430 DMR_19040
DMR_02430 DMR_23760
DMR_02430 DMR_23770
DMR_02430 DMR_36600
DMR_02430 DMR_33440
DMR_02430 DMR_23920
DMR_02430 DMR_33420
DMR_02430 DMR_29050
DMR_02430 DMR_26640
DMR_02430 DMR_23820
DMR_02430 DMR_33480
DMR_02430 DMR_23780
DMR_02430 DMR_28680
DMR_02430 DMR_11050
DMR_02430 DMR_02850
DMR_02430 DMR_16140
DMR_02430 DMR_27990
DMR_02430 DMR_18430
DMR_02430 DMR_02830
DMR_02430 DMR_23750
DMR_02430 DMR_10020
DMR_02430 DMR_20770
DMR_02450 DMR_14870
DMR_02450 DMR_06960
DMR_02450 DMR_28300
DMR_02450 DMR_28310
DMR_02450 DMR_14880
DMR_02450 DMR_14900
DMR_02450 DMR_06970
DMR_02450 DMR_14890
DMR_02470 DMR_28310
DMR_02470 DMR_06960
DMR_02470 DMR_14900
DMR_02470 DMR_14890
DMR_02470 DMR_28300
DMR_02470 DMR_14870
DMR_02470 DMR_14880
DMR_02470 DMR_06970
DMR_02490 DMR_26520
DMR_02490 DMR_18190
DMR_02490 DMR_26700
DMR_02490 DMR_18780
DMR_02490 DMR_00720
DMR_02490 DMR_45090
DMR_02490 DMR_46260
DMR_02490 DMR_15780
DMR_02490 DMR_05910
DMR_02490 DMR_07390
DMR_02490 DMR_18760
DMR_02490 DMR_03250
DMR_02490 DMR_07380
DMR_02490 DMR_45930
DMR_02490 DMR_00560
DMR_02490 DMR_34740
DMR_02490 DMR_18770
DMR_02490 DMR_26530
DMR_02490 DMR_02200
DMR_02490 DMR_00400
DMR_02490 DMR_07360
DMR_02490 DMR_17890
DMR_02490 DMR_28220
DMR_02490 DMR_42760
DMR_02490 DMR_07370
DMR_02490 DMR_28100
DMR_02500 DMR_19280
DMR_02500 DMR_34830
DMR_02500 DMR_10980
DMR_02500 DMR_33270
DMR_02540 DMR_11840
DMR_02540 DMR_11870
DMR_02550 DMR_11870
DMR_02620 DMR_20240
DMR_02620 DMR_38870
DMR_02620 DMR_38880
DMR_02620 DMR_38860
DMR_02620 DMR_37800
DMR_02630 DMR_02640
DMR_02640 DMR_02630
DMR_02800 DMR_44720
DMR_02800 DMR_13640
DMR_02800 DMR_03660
DMR_02800 DMR_00020
DMR_02800 DMR_25310
DMR_02800 DMR_17070
DMR_02800 DMR_19780
DMR_02800 DMR_44320
DMR_02800 DMR_44680
DMR_02800 DMR_05180
DMR_02810 DMR_31620
DMR_02810 DMR_00520
DMR_02810 DMR_17280
DMR_02810 DMR_05390
DMR_02810 DMR_05400
DMR_02810 DMR_39470
DMR_02810 DMR_21320
DMR_02810 DMR_29670
DMR_02830 DMR_08380
DMR_02830 DMR_09320
DMR_02830 DMR_19950
DMR_02830 DMR_01860
DMR_02830 DMR_36560
DMR_02830 DMR_19070
DMR_02830 DMR_29620
DMR_02830 DMR_39290
DMR_02830 DMR_35850
DMR_02830 DMR_01390
DMR_02830 DMR_08750
DMR_02830 DMR_26500
DMR_02830 DMR_28870
DMR_02830 DMR_10030
DMR_02830 DMR_43570
DMR_02830 DMR_29830
DMR_02830 DMR_27200
DMR_02830 DMR_38310
DMR_02830 DMR_23820
DMR_02830 DMR_37860
DMR_02830 DMR_35360
DMR_02830 DMR_27400
DMR_02830 DMR_44400
DMR_02830 DMR_09990
DMR_02830 DMR_16200
DMR_02830 DMR_19580
DMR_02830 DMR_29150
DMR_02830 DMR_14010
DMR_02830 DMR_43830
DMR_02830 DMR_44450
DMR_02830 DMR_12590
DMR_02830 DMR_46100
DMR_02830 DMR_02430
DMR_02830 DMR_04320
DMR_02830 DMR_22810
DMR_02830 DMR_40240
DMR_02850 DMR_26500
DMR_02850 DMR_01390
DMR_02850 DMR_18430
DMR_02850 DMR_29620
DMR_02850 DMR_23750
DMR_02850 DMR_19040
DMR_02850 DMR_08750
DMR_02850 DMR_35850
DMR_02850 DMR_23770
DMR_02850 DMR_28870
DMR_02850 DMR_10030
DMR_02850 DMR_11050
DMR_02850 DMR_43570
DMR_02850 DMR_27990
DMR_02850 DMR_39290
DMR_02850 DMR_27400
DMR_02850 DMR_23780
DMR_02850 DMR_27200
DMR_02850 DMR_29830
DMR_02850 DMR_09310
DMR_02850 DMR_33480
DMR_02850 DMR_29050
DMR_02850 DMR_36600
DMR_02850 DMR_33420
DMR_02850 DMR_33430
DMR_02850 DMR_37860
DMR_02850 DMR_38310
DMR_02850 DMR_44400
DMR_02850 DMR_16200
DMR_02850 DMR_28680
DMR_02850 DMR_09990
DMR_02850 DMR_16140
DMR_02850 DMR_19580
DMR_02850 DMR_29150
DMR_02850 DMR_26640
DMR_02850 DMR_20770
DMR_02850 DMR_33440
DMR_02850 DMR_14010
DMR_02850 DMR_12590
DMR_02850 DMR_44450
DMR_02850 DMR_46100
DMR_02850 DMR_04320
DMR_02850 DMR_02430
DMR_02850 DMR_22810
DMR_02850 DMR_10020
DMR_02850 DMR_40240
DMR_02850 DMR_35360
DMR_02850 DMR_08380
DMR_02850 DMR_09320
DMR_02850 DMR_23920
DMR_02850 DMR_19950
DMR_02850 DMR_19070
DMR_02850 DMR_36560
DMR_02850 DMR_01860
DMR_03010 DMR_46110
DMR_03250 DMR_39830
DMR_03250 DMR_43690
DMR_03250 DMR_02490
DMR_03250 DMR_45930
DMR_03250 DMR_26530
DMR_03250 DMR_18190
DMR_03250 DMR_17890
DMR_03250 DMR_22400
DMR_03250 DMR_42760
DMR_03250 DMR_46260
DMR_03250 DMR_05910
DMR_03250 DMR_03270
DMR_03250 DMR_45000
DMR_03250 DMR_00560
DMR_03250 DMR_34740
DMR_03250 DMR_21160
DMR_03250 DMR_02200
DMR_03250 DMR_00720
DMR_03250 DMR_00400
DMR_03250 DMR_05590
DMR_03270 DMR_21130
DMR_03270 DMR_46260
DMR_03270 DMR_03250
DMR_03270 DMR_45000
DMR_03270 DMR_11650
DMR_03270 DMR_26010
DMR_03270 DMR_39830
DMR_03270 DMR_37500
DMR_03270 DMR_39990
DMR_03270 DMR_44060
DMR_03270 DMR_43690
DMR_03270 DMR_21160
DMR_03270 DMR_30810
DMR_03270 DMR_05590
DMR_03270 DMR_18240
DMR_03270 DMR_21050
DMR_03270 DMR_21040
DMR_03270 DMR_14920
DMR_03270 DMR_22400
DMR_03280 DMR_28110
DMR_03280 DMR_14790
DMR_03290 DMR_37970
DMR_03290 DMR_39940
DMR_03290 DMR_27730
DMR_03290 DMR_11830
DMR_03290 DMR_27710
DMR_03460 DMR_05800
DMR_03460 DMR_22410
DMR_03460 DMR_22690
DMR_03460 DMR_45590
DMR_03460 DMR_05820
DMR_03460 DMR_12100
DMR_03460 DMR_12090
DMR_03460 DMR_45610
DMR_03460 DMR_22420
DMR_03460 DMR_05880
DMR_03460 DMR_05900
DMR_03460 DMR_45570
DMR_03460 DMR_11370
DMR_03460 DMR_05810
DMR_03460 DMR_22660
DMR_03460 DMR_11380
DMR_03460 DMR_45580
DMR_03460 DMR_05830
DMR_03460 DMR_09060
DMR_03460 DMR_22440
DMR_03460 DMR_09090
DMR_03460 DMR_11360
DMR_03460 DMR_11350
DMR_03460 DMR_22670
DMR_03460 DMR_12070
DMR_03460 DMR_09070
DMR_03460 DMR_22680
DMR_03460 DMR_05870
DMR_03460 DMR_09040
DMR_03460 DMR_12080
DMR_03460 DMR_05890
DMR_03600 DMR_37140
DMR_03600 DMR_08220
DMR_03600 DMR_17280
DMR_03600 DMR_19370
DMR_03600 DMR_25780
DMR_03600 DMR_29670
DMR_03600 DMR_17120
DMR_03600 DMR_05400
DMR_03600 DMR_21020
DMR_03600 DMR_46120
DMR_03600 DMR_05390
DMR_03600 DMR_03610
DMR_03600 DMR_15890
DMR_03600 DMR_13140
DMR_03600 DMR_07630
DMR_03600 DMR_30710
DMR_03610 DMR_25780
DMR_03610 DMR_07630
DMR_03610 DMR_46120
DMR_03610 DMR_21020
DMR_03610 DMR_05390
DMR_03610 DMR_03600
DMR_03610 DMR_05400
DMR_03610 DMR_17120
DMR_03610 DMR_37140
DMR_03610 DMR_15890
DMR_03610 DMR_30710
DMR_03610 DMR_13140
DMR_03610 DMR_29670
DMR_03610 DMR_08220
DMR_03610 DMR_17280
DMR_03610 DMR_19370
DMR_03630 DMR_11850
DMR_03630 DMR_05060
DMR_03660 DMR_44320
DMR_03660 DMR_17070
DMR_03660 DMR_19780
DMR_03660 DMR_13640
DMR_03660 DMR_44720
DMR_03660 DMR_05180
DMR_03660 DMR_02800
DMR_03660 DMR_44680
DMR_03660 DMR_25310
DMR_03660 DMR_00020
DMR_03760 DMR_39830
DMR_03760 DMR_22540
DMR_03760 DMR_43690
DMR_03760 DMR_28280
DMR_03760 DMR_20580
DMR_03760 DMR_18210
DMR_03770 DMR_30540
DMR_03800 DMR_21220
DMR_03800 DMR_26040
DMR_03800 DMR_21290
DMR_03800 DMR_33320
DMR_03800 DMR_22010
DMR_03810 DMR_25730
DMR_03810 DMR_05320
DMR_03810 DMR_33090
DMR_03810 DMR_43630
DMR_03810 DMR_05310
DMR_03810 DMR_05350
DMR_03860 DMR_23150
DMR_03860 DMR_24310
DMR_03880 DMR_15970
DMR_03880 DMR_37970
DMR_03880 DMR_21580
DMR_04320 DMR_19040
DMR_04320 DMR_23750
DMR_04320 DMR_02850
DMR_04320 DMR_23920
DMR_04320 DMR_18430
DMR_04320 DMR_23760
DMR_04320 DMR_29050
DMR_04320 DMR_10020
DMR_04320 DMR_33420
DMR_04320 DMR_28680
DMR_04320 DMR_33440
DMR_04320 DMR_20770
DMR_04320 DMR_02830
DMR_04320 DMR_23770
DMR_04320 DMR_33460
DMR_04320 DMR_11050
DMR_04320 DMR_27990
DMR_04320 DMR_09310
DMR_04320 DMR_33480
DMR_04320 DMR_36600
DMR_04320 DMR_23820
DMR_04320 DMR_33430
DMR_04320 DMR_23780
DMR_04320 DMR_16140
DMR_04320 DMR_26640
DMR_04400 DMR_43140
DMR_04400 DMR_00430
DMR_04400 DMR_45660
DMR_04400 DMR_27100
DMR_04400 DMR_22860
DMR_04400 DMR_25390
DMR_04400 DMR_25690
DMR_04400 DMR_22870
DMR_04400 DMR_43130
DMR_04460 DMR_02220
DMR_04460 DMR_08080
DMR_04600 DMR_35270
DMR_04600 DMR_04650
DMR_04600 DMR_04610
DMR_04610 DMR_31160
DMR_04610 DMR_05590
DMR_04610 DMR_40230
DMR_04610 DMR_12460
DMR_04610 DMR_17700
DMR_04610 DMR_31150
DMR_04610 DMR_23740
DMR_04610 DMR_44720
DMR_04610 DMR_19960
DMR_04610 DMR_14050
DMR_04610 DMR_35270
DMR_04610 DMR_05620
DMR_04610 DMR_35950
DMR_04610 DMR_17070
DMR_04610 DMR_44320
DMR_04610 DMR_05180
DMR_04610 DMR_04600
DMR_04610 DMR_25360
DMR_04650 DMR_06190
DMR_04650 DMR_04600
DMR_04680 DMR_39450
DMR_04730 DMR_33270
DMR_04760 DMR_04830
DMR_04760 DMR_04820
DMR_04760 DMR_42170
DMR_04760 DMR_04780
DMR_04760 DMR_16390
DMR_04760 DMR_25800
DMR_04760 DMR_04800
DMR_04760 DMR_04770
DMR_04760 DMR_04790
DMR_04760 DMR_42160
DMR_04760 DMR_04810
DMR_04770 DMR_04760
DMR_04770 DMR_04780
DMR_04770 DMR_42170
DMR_04770 DMR_04800
DMR_04770 DMR_04810
DMR_04770 DMR_16390
DMR_04770 DMR_04830
DMR_04770 DMR_04790
DMR_04770 DMR_25800
DMR_04770 DMR_04820
DMR_04770 DMR_42160
DMR_04780 DMR_16390
DMR_04780 DMR_04760
DMR_04780 DMR_04810
DMR_04780 DMR_25800
DMR_04780 DMR_42170
DMR_04780 DMR_04830
DMR_04780 DMR_04790
DMR_04780 DMR_04800
DMR_04780 DMR_04820
DMR_04780 DMR_42160
DMR_04780 DMR_04770
DMR_04790 DMR_04820
DMR_04790 DMR_04760
DMR_04790 DMR_04800
DMR_04790 DMR_04810
DMR_04790 DMR_16390
DMR_04790 DMR_25800
DMR_04790 DMR_42170
DMR_04790 DMR_04780
DMR_04790 DMR_42160
DMR_04790 DMR_04830
DMR_04790 DMR_04770
DMR_04800 DMR_04820
DMR_04800 DMR_42160
DMR_04800 DMR_04780
DMR_04800 DMR_04760
DMR_04800 DMR_04810
DMR_04800 DMR_16390
DMR_04800 DMR_25800
DMR_04800 DMR_42170
DMR_04800 DMR_04790
DMR_04800 DMR_04830
DMR_04800 DMR_04770
DMR_04810 DMR_04800
DMR_04810 DMR_25800
DMR_04810 DMR_42170
DMR_04810 DMR_04830
DMR_04810 DMR_04790
DMR_04810 DMR_04770
DMR_04810 DMR_04820
DMR_04810 DMR_42160
DMR_04810 DMR_04780
DMR_04810 DMR_04760
DMR_04810 DMR_16390
DMR_04820 DMR_04780
DMR_04820 DMR_04760
DMR_04820 DMR_04810
DMR_04820 DMR_42160
DMR_04820 DMR_16390
DMR_04820 DMR_25800
DMR_04820 DMR_04800
DMR_04820 DMR_04790
DMR_04820 DMR_42170
DMR_04820 DMR_04830
DMR_04820 DMR_04770
DMR_04830 DMR_04800
DMR_04830 DMR_04820
DMR_04830 DMR_42160
DMR_04830 DMR_04760
DMR_04830 DMR_04780
DMR_04830 DMR_04810
DMR_04830 DMR_16390
DMR_04830 DMR_25800
DMR_04830 DMR_42170
DMR_04830 DMR_04790
DMR_04830 DMR_04770
DMR_04840 DMR_19030
DMR_04840 DMR_25700
DMR_04930 DMR_35820
DMR_04930 DMR_33560
DMR_04930 DMR_33540
DMR_04930 DMR_21400
DMR_04930 DMR_06980
DMR_04930 DMR_33520
DMR_04930 DMR_33550
DMR_05060 DMR_11850
DMR_05060 DMR_11880
DMR_05060 DMR_03630
DMR_05070 DMR_22260
DMR_05070 DMR_22280
DMR_05070 DMR_16670
DMR_05160 DMR_45620
DMR_05160 DMR_38390
DMR_05180 DMR_07380
DMR_05180 DMR_44720
DMR_05180 DMR_31740
DMR_05180 DMR_34180
DMR_05180 DMR_11660
DMR_05180 DMR_40230
DMR_05180 DMR_05550
DMR_05180 DMR_12460
DMR_05180 DMR_17700
DMR_05180 DMR_42330
DMR_05180 DMR_31150
DMR_05180 DMR_23740
DMR_05180 DMR_28090
DMR_05180 DMR_20070
DMR_05180 DMR_15990
DMR_05180 DMR_13640
DMR_05180 DMR_03660
DMR_05180 DMR_24480
DMR_05180 DMR_19960
DMR_05180 DMR_21840
DMR_05180 DMR_21080
DMR_05180 DMR_16390
DMR_05180 DMR_14270
DMR_05180 DMR_06140
DMR_05180 DMR_34340
DMR_05180 DMR_14050
DMR_05180 DMR_07370
DMR_05180 DMR_22840
DMR_05180 DMR_31650
DMR_05180 DMR_35950
DMR_05180 DMR_44680
DMR_05180 DMR_02800
DMR_05180 DMR_25360
DMR_05180 DMR_21830
DMR_05180 DMR_18770
DMR_05180 DMR_25310
DMR_05180 DMR_00020
DMR_05180 DMR_32860
DMR_05180 DMR_44980
DMR_05180 DMR_17070
DMR_05180 DMR_19780
DMR_05180 DMR_17880
DMR_05180 DMR_15980
DMR_05180 DMR_44320
DMR_05180 DMR_26700
DMR_05180 DMR_34170
DMR_05180 DMR_05590
DMR_05180 DMR_19010
DMR_05180 DMR_19990
DMR_05180 DMR_04610
DMR_05180 DMR_05370
DMR_05180 DMR_16000
DMR_05180 DMR_31160
DMR_05180 DMR_28100
DMR_05180 DMR_18780
DMR_05180 DMR_44640
DMR_05250 DMR_17130
DMR_05250 DMR_37080
DMR_05250 DMR_39990
DMR_05250 DMR_33050
DMR_05250 DMR_05920
DMR_05250 DMR_19490
DMR_05250 DMR_14920
DMR_05250 DMR_05260
DMR_05250 DMR_05280
DMR_05250 DMR_15970
DMR_05250 DMR_15470
DMR_05260 DMR_08480
DMR_05260 DMR_17130
DMR_05260 DMR_39990
DMR_05260 DMR_37080
DMR_05260 DMR_05250
DMR_05260 DMR_33050
DMR_05260 DMR_05920
DMR_05260 DMR_19490
DMR_05260 DMR_14920
DMR_05260 DMR_05280
DMR_05260 DMR_15970
DMR_05260 DMR_15470
DMR_05270 DMR_05280
DMR_05270 DMR_05290
DMR_05270 DMR_05320
DMR_05270 DMR_05310
DMR_05280 DMR_05270
DMR_05280 DMR_08480
DMR_05280 DMR_05250
DMR_05280 DMR_19490
DMR_05280 DMR_05260
DMR_05290 DMR_05270
DMR_05290 DMR_05320
DMR_05290 DMR_05310
DMR_05310 DMR_05350
DMR_05310 DMR_16380
DMR_05310 DMR_05290
DMR_05310 DMR_05270
DMR_05310 DMR_05320
DMR_05310 DMR_43630
DMR_05310 DMR_03810
DMR_05320 DMR_43630
DMR_05320 DMR_03810
DMR_05320 DMR_05310
DMR_05320 DMR_16380
DMR_05320 DMR_05350
DMR_05320 DMR_05290
DMR_05320 DMR_05270
DMR_05330 DMR_05350
DMR_05330 DMR_45930
DMR_05330 DMR_19340
DMR_05330 DMR_43630
DMR_05330 DMR_34740
DMR_05330 DMR_39240
DMR_05340 DMR_43630
DMR_05340 DMR_27440
DMR_05340 DMR_08110
DMR_05350 DMR_39240
DMR_05350 DMR_45930
DMR_05350 DMR_05320
DMR_05350 DMR_19340
DMR_05350 DMR_34740
DMR_05350 DMR_05330
DMR_05350 DMR_43630
DMR_05350 DMR_03810
DMR_05350 DMR_05310
DMR_05350 DMR_16380
DMR_05360 DMR_23990
DMR_05360 DMR_28560
DMR_05370 DMR_22840
DMR_05370 DMR_19010
DMR_05370 DMR_05550
DMR_05370 DMR_35530
DMR_05370 DMR_21630
DMR_05370 DMR_11000
DMR_05370 DMR_19210
DMR_05370 DMR_42330
DMR_05370 DMR_21080
DMR_05370 DMR_11660
DMR_05370 DMR_44980
DMR_05370 DMR_27100
DMR_05370 DMR_44600
DMR_05370 DMR_21070
DMR_05370 DMR_06140
DMR_05370 DMR_31320
DMR_05370 DMR_20070
DMR_05370 DMR_05180
DMR_05370 DMR_07370
DMR_05370 DMR_28980
DMR_05370 DMR_34930
DMR_05370 DMR_38050
DMR_05370 DMR_35610
DMR_05370 DMR_28790
DMR_05370 DMR_07380
DMR_05370 DMR_25420
DMR_05370 DMR_18320
DMR_05370 DMR_25390
DMR_05370 DMR_18780
DMR_05370 DMR_18770
DMR_05390 DMR_46120
DMR_05390 DMR_21020
DMR_05390 DMR_05400
DMR_05390 DMR_03600
DMR_05390 DMR_15890
DMR_05390 DMR_29670
DMR_05390 DMR_08220
DMR_05390 DMR_02810
DMR_05390 DMR_39470
DMR_05390 DMR_03610
DMR_05390 DMR_00520
DMR_05390 DMR_31620
DMR_05390 DMR_17280
DMR_05400 DMR_46120
DMR_05400 DMR_31620
DMR_05400 DMR_03610
DMR_05400 DMR_17280
DMR_05400 DMR_00520
DMR_05400 DMR_21020
DMR_05400 DMR_05390
DMR_05400 DMR_15890
DMR_05400 DMR_03600
DMR_05400 DMR_29670
DMR_05400 DMR_08220
DMR_05400 DMR_02810
DMR_05400 DMR_39470
DMR_05410 DMR_01920
DMR_05410 DMR_01910
DMR_05410 DMR_22120
DMR_05410 DMR_01900
DMR_05410 DMR_05420
DMR_05420 DMR_05410
DMR_05420 DMR_01920
DMR_05420 DMR_01910
DMR_05420 DMR_01900
DMR_05420 DMR_22120
DMR_05540 DMR_05550
DMR_05540 DMR_05560
DMR_05550 DMR_07380
DMR_05550 DMR_42330
DMR_05550 DMR_11000
DMR_05550 DMR_11660
DMR_05550 DMR_31320
DMR_05550 DMR_20070
DMR_05550 DMR_34930
DMR_05550 DMR_25390
DMR_05550 DMR_19210
DMR_05550 DMR_06140
DMR_05550 DMR_07370
DMR_05550 DMR_05540
DMR_05550 DMR_22840
DMR_05550 DMR_44600
DMR_05550 DMR_18770
DMR_05550 DMR_05370
DMR_05550 DMR_27100
DMR_05550 DMR_19010
DMR_05550 DMR_28980
DMR_05550 DMR_05180
DMR_05550 DMR_18780
DMR_05550 DMR_25420
DMR_05550 DMR_28790
DMR_05550 DMR_18320
DMR_05560 DMR_05540
DMR_05560 DMR_21090
DMR_05560 DMR_38890
DMR_05560 DMR_44990
DMR_05590 DMR_24480
DMR_05590 DMR_43690
DMR_05590 DMR_45000
DMR_05590 DMR_16390
DMR_05590 DMR_26010
